"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:126","28,87 m²","pelna wlasnosc","1 ","do wykonczenia","2/13","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","nie",NA,NA,"346 440 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkanie-pod-inwestycje-ID4gfx7","katowice",NA,NA,NA,"2022-04-08"
"1:127","25,82 m²","pelna wlasnosc","1 ","zapytaj","1/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","296 552 zl","https://www.otodom.pl/pl/oferta/prestizowe-osiedle-tylko-teraz-promocja-0-pcc-ID4haRo","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:128","31,15 m²","pelna wlasnosc","1 ","zapytaj","2/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","302 155 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-idealna-lokalizacja-0-pcc-ID4haQu","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:129","26,05 m²","pelna wlasnosc","1 ","zapytaj","parter/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","299 141 zl","https://www.otodom.pl/pl/oferta/tylko-u-nas-hot-promocja-kawalerka-bez-prowizji-ID4haFN","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:130","33 m²","zapytaj","1 ","do zamieszkania","2/4","zapytaj","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","299 999 zl","https://www.otodom.pl/pl/oferta/katowice-welnowiec-jozefowiec-ul-kotlarza-ID4haxq","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia",NA
"1:131","37,3 m²","pelna wlasnosc","2 ","do wykonczenia","parter/9","ogródek, taras","185 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"369 270 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-taras-gotowe-do-oddania-bezposrednio-ID4haqb","katowice",NA,"system alarmowy, monitoring / ochrona",NA,NA
"1:132","33 m²","pelna wlasnosc","2 ","do wykonczenia","8/11","balkon","185 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"396 000 zl","https://www.otodom.pl/pl/oferta/ustawne-2-pok-miejsce-postojowe-bezposrednio-ID4haq7","katowice",NA,"system alarmowy, monitoring / ochrona",NA,NA
"1:133","31,15 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","taras","160 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"299 900 zl","https://www.otodom.pl/pl/oferta/nowa-kawalerka-przy-parku-slaskim-bezposrednio-ID4hapJ","katowice",NA,"monitoring / ochrona",NA,"2022-12-30"
"1:134","38 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","170 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","kamienica",NA,"nie",NA,NA,"273 600 zl","https://www.otodom.pl/pl/oferta/promocja-dwupak-nowa-kawalerka-2-pokoje-nikisz-ID4hakk","katowice",NA,"monitoring / ochrona",NA,"2023-03-30"
"1:135","27,37 m²","pelna wlasnosc","1 ","zapytaj","2/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","313 995 zl","https://www.otodom.pl/pl/oferta/mega-promocja-prestizowe-osiedle-wysoki-standard-ID4hadW","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:136","31,87 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4gfty","katowice",NA,NA,NA,NA
"1:137","34,26 m²","pelna wlasnosc","2 ","do zamieszkania","7/17","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2021","apartamentowiec","plastikowe","tak","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"393 990 zl","https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-sypialnia-wysoki-standard-34m-ID4gWgo","katowice",NA,"domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:138","31,15 m²","zapytaj","1 ","do wykonczenia","parter/6","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,NA,"292 810 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-z-ogrodkiem-przy-parku-slaskim-ID4h9Wi","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:139","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/11","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","drewniane","tak","meble","wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-przytulne-katowice-tysiaclecie-ID4h9Qv","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica",NA
"1:140","27,37 m²","pelna wlasnosc","1 ","zapytaj","1/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","313 995 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-prestizowej-lokalizacji-promocja-ID4h9Ko","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:141","35 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","balkon, ogródek, taras","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1990","blok",NA,"nie","meble","cegla","285 000 zl","https://www.otodom.pl/pl/oferta/katowice-brynow-2-pok-ogrodek-miejsce-parkingowe-ID4h9uy","katowice","internet","monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:142","37,9 m²","pelna wlasnosc","2 ","do zamieszkania","4/10","balkon","320 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","lodówka, piekarnik, kuchenka",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/katowice-szopienice-morawa-po-remoncie-38m-balkon-ID4h9nj","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica",NA
"1:143","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/10","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,"279 000 zl","https://www.otodom.pl/pl/oferta/k-ce-szopienice-37-mkw-2-pokoje-c-279-tys-zl-ID4h9g4","katowice",NA,NA,"piwnica",NA
"1:144","32,7 m²","zapytaj","2 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","tak","zapytaj","pierwotny","deweloper","2021","blok",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-nowy-nikisz-b-3-4-ID4h9ee","katowice","telewizja kablowa, internet",NA,NA,NA
"1:145","37 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","8/13","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","280 000 zl","https://www.otodom.pl/pl/oferta/okazja-kawalerka-do-zamieszkania-gotowa-inwestycja-ID4fwj3","katowice","internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA
"1:146","35,89 m²","pelna wlasnosc","2 ","do wykonczenia","3/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"pustak","341 493 zl","https://www.otodom.pl/pl/oferta/apartament-36m2-2-pokoje-bez-prowizji-0-pcc-ID4h95t","katowice","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica, pom. uzytkowe",NA
"1:147","24,23 m²","pelna wlasnosc","1 ","do zamieszkania","2/4","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","meble","cegla","199 900 zl","https://www.otodom.pl/pl/oferta/0-prowizji-z-wyposazeniem-c-o-miejskie-ID4guUh","katowice","telewizja kablowa, internet, telefon",NA,"piwnica",NA
"1:148","32,77 m²","pelna wlasnosc","2 ","zapytaj","7/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","374 761 zl","https://www.otodom.pl/pl/oferta/promocja-tylko-teraz-mieszkanie-2-pokoje-0-pcc-ID4h8Y5","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:149","36,58 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","ogródek, taras","zapytaj","zapytaj","Film","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,"356 826 zl","https://www.otodom.pl/pl/oferta/moderna-5-przytulne-mieszkanie-e1-3a-ID4gyu3","katowice","internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA
"1:150","27,02 m²","pelna wlasnosc","1 ","do wykonczenia","zapytaj","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","prywatny",NA,"apartamentowiec","plastikowe","tak",NA,"beton","199 948 zl","https://www.otodom.pl/pl/oferta/apartamenty-hetmanska-ID4fz07","katowice","telewizja kablowa","domofon / wideofon",NA,NA
"1:151","20,29 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","elektryczne","wtórny","prywatny",NA,"loft","plastikowe","tak",NA,"wielka plyta","78 888 zl","https://www.otodom.pl/pl/oferta/lokal-pod-kawalerke-bezczynszowy-wspolnota-ID4e32v","katowice","telewizja kablowa, internet, telefon","teren zamkniety, monitoring / ochrona",NA,NA
"1:152","17,31 m²","pelna wlasnosc","1 ","do remontu","3/3","zapytaj","250 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1970","blok","drewniane","nie",NA,"cegla","99 000 zl","https://www.otodom.pl/pl/oferta/tania-kawalerka-w-odnowionym-bloku-z-c-o-ID4h8fv","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica",NA
"1:153","38 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","165 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","kamienica",NA,"nie",NA,NA,"273 600 zl","https://www.otodom.pl/pl/oferta/dwupak-kawalerka-2-pokoje-promocja-ID4h7Xf","katowice",NA,"monitoring / ochrona",NA,"2023-06-30"
"1:154","33,05 m²","pelna wlasnosc","2 ","zapytaj","6/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","377 912 zl","https://www.otodom.pl/pl/oferta/hot-oferta-prestizowe-osiedle-2-pokoje-0-pcc-ID4h7Ik","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:155","34,22 m²","pelna wlasnosc","2 ","do remontu","3/4","zapytaj","550 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","pralka","beton","285 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-super-lokalizacji-katowice-silesia-ID4h7F9","katowice",NA,NA,"piwnica",NA
"1:156","25,92 m²","zapytaj","1 ","zapytaj","zapytaj","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,"296 552 zl","https://www.otodom.pl/pl/oferta/1-pokoj-z-balkonem-dostepne-od-juz-rabat-22-tys-ID4bGTz","katowice","telewizja kablowa, internet",NA,NA,NA
"1:157","36,93 m²","zapytaj","2 ","do wykonczenia","5/10","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"347 138 zl","https://www.otodom.pl/pl/oferta/nowe-2-pok-klucze-w-lipcu-poludniowe-okna-ID4h7BF","katowice",NA,"monitoring / ochrona",NA,NA
"1:158","36,8 m²","zapytaj","2 ","do wykonczenia","8/10","balkon","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,"354 223,33 zl","https://www.otodom.pl/pl/oferta/nowe-top-lokalizacja-2-pok-koszutka-bezposrednio-ID4h7zX","katowice",NA,"monitoring / ochrona",NA,"2022-06-30"
"1:159","28 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","parter/10","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1973","blok","plastikowe","tak",NA,"wielka plyta","270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-28m2-gotowa-do-wejscia-giszowiec-ID4h7ma","katowice","telewizja kablowa, internet, telefon",NA,NA,NA
"1:160","29,1 m²","pelna wlasnosc","1 ","zapytaj","6/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","333 462 zl","https://www.otodom.pl/pl/oferta/mega-oferta-promocja-wysoki-standard-0-pcc-ID4h75U","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:161","32,98 m²","pelna wlasnosc","1 ","do wykonczenia","6/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"327 490 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4fuG2","katowice",NA,NA,NA,NA
"1:162","37 m²","zapytaj","2 ","do wykonczenia","3/4","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1920","kamienica","plastikowe","nie","lodówka, meble, piekarnik, kuchenka, pralka","cegla","198 000 zl","https://www.otodom.pl/pl/oferta/37-52m2-katowice-strzelecka-srodmiescie-ID4h6N2","katowice",NA,"domofon / wideofon","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:163","27,5 m²","zapytaj","1 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,"289 062 zl","https://www.otodom.pl/pl/oferta/kawalerka-duzy-salon-balkon-park-bezposrednio-ID4h6sf","katowice",NA,"monitoring / ochrona","piwnica, pom. uzytkowe","2022-12-28"
"1:164","35,89 m²","pelna wlasnosc","2 ","do wykonczenia","2/10","taras","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"341 493 zl","https://www.otodom.pl/pl/oferta/klucze-do-odbioru-w-lipcu-ustawne-2-pokoje-ID4h6rQ","katowice",NA,"monitoring / ochrona",NA,NA
"1:165","32,5 m²","pelna wlasnosc","2 ","zapytaj","5/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","371 723 zl","https://www.otodom.pl/pl/oferta/super-promocja-kup-juz-dzis-mieszkanie-2-pokoje-ID4h6rN","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:166","31 m²","zapytaj","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,"302 155 zl","https://www.otodom.pl/pl/oferta/kawalerka-duzy-salon-balkon-park-bezposrednio-ID4h6rI","katowice",NA,"monitoring / ochrona","piwnica, pom. uzytkowe","2022-12-28"
"1:167","27,3 m²","zapytaj","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,NA,"275 427 zl","https://www.otodom.pl/pl/oferta/kawalerka-duzy-salon-balkon-park-bezposrednio-ID4h6rr","katowice",NA,"monitoring / ochrona",NA,"2022-12-28"
"1:168","36 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","4/15","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,"265 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-garazem-swietne-pod-inwestycje-ID4h6eF","katowice",NA,"domofon / wideofon","piwnica",NA
"1:169","29,13 m²","pelna wlasnosc","1 ","zapytaj","5/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","352 473 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-prestizowej-lokalizacji-ostatnie-ID4h60e","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:170","34,9 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","2/10","balkon","520 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok",NA,"tak","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"280 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-na-giszowcu-ID4h5XA","katowice",NA,"domofon / wideofon",NA,NA
"1:171","29 m²","pelna wlasnosc","1 ","do remontu","3/3","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"185 000 zl","https://www.otodom.pl/pl/oferta/katowice-brynow-ul-brynowska-kawalerka-29m-balkon-ID4gBJG","katowice",NA,"domofon / wideofon","piwnica",NA
"1:172","29,6 m²","zapytaj","1 ","do remontu","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"159 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-ogrzewanie-miejskie-blok-ocieplony-ID4h5sQ","katowice",NA,NA,"piwnica, oddzielna kuchnia",NA
"1:173","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","2/4","balkon","380 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","1960",NA,"plastikowe","nie","zmywarka, lodówka, meble, piekarnik, kuchenka","cegla","300 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-do-negocjacji-ID4h5p9","katowice","telewizja kablowa, internet","domofon / wideofon","piwnica",NA
"1:174","32,88 m²","pelna wlasnosc","2 ","zapytaj","5/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","394 560 zl","https://www.otodom.pl/pl/oferta/kup-i-zamieszkaj-w-prestizowej-lokalizacji-0-pcc-ID4h4HR","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:175","22 m²","pelna wlasnosc","1 ","zapytaj","1/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","drewniane","tak","lodówka, meble, piekarnik, kuchenka","wielka plyta","157 000 zl","https://www.otodom.pl/pl/oferta/katowice-okol-awf-asp-kawalerka-ID4h4m3","katowice",NA,"domofon / wideofon","piwnica","2022-06-10"
"1:176","32,7 m²","pelna wlasnosc","2 ","do wykonczenia","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/2-pok-w-zabytkowej-dzielnicy-idealne-pod-wynajem-ID4h3Fj","katowice",NA,NA,NA,NA
"1:177","32,7 m²","pelna wlasnosc","2 ","zapytaj","parter/3","zapytaj","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","nie",NA,"pustak","261 600 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-zabytkowa-dzielnica-0-pcc-ID4h3yA","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:178","32,75 m²","pelna wlasnosc","2 ","zapytaj","4/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","396 275 zl","https://www.otodom.pl/pl/oferta/prestizowe-osiedle-idealne-mieszkanie-rabaty-ID4h3yo","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:179","37 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","> 10/13","zapytaj","430 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak",NA,"wielka plyta","295 000 zl","https://www.otodom.pl/pl/oferta/niesamowity-widok-ID4h3ng","katowice",NA,"monitoring / ochrona",NA,NA
"1:180","31 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","8","balkon","350 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak","lodówka, meble, piekarnik, kuchenka",NA,"269 999 zl","https://www.otodom.pl/pl/oferta/katowice-paderewskiego-kawalerka-po-remoncie-ID4h3eX","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica",NA
"1:181","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","1/4","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1982","blok",NA,"nie",NA,NA,"269 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-z-balkonem-os-odrodzenia-ID4h2RQ","katowice",NA,"monitoring / ochrona","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:182","28,87 m²","pelna wlasnosc","1 ","zapytaj","4/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","349 327 zl","https://www.otodom.pl/pl/oferta/presizowe-osiedle-kawalerka-rabaty-bez-prowizji-ID4h2hW","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:183","25,71 m²","pelna wlasnosc","1 ","zapytaj","3/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","269 955 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-doskonalej-lokalizacji-bez-prowizji-ID4h2gQ","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:184","30,5 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","zapytaj","190 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"269 000 zl","https://www.otodom.pl/pl/oferta/gotowa-inwestycja-kawalerka-z-antresola-w-centrum-ID4h273","katowice","telewizja kablowa, internet, telefon","system alarmowy, domofon / wideofon","piwnica, pom. uzytkowe",NA
"1:185","32,7 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","zapytaj","165 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","kamienica",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/nowe-kompaktowe-2-pok-nikiszowiec-bezposrednio-ID4h1V5","katowice",NA,"monitoring / ochrona",NA,"2022-09-28"
"1:186","32,6 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","zapytaj","165 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","kamienica",NA,"nie",NA,NA,"260 800 zl","https://www.otodom.pl/pl/oferta/nowe-kompaktowe-2-pok-na-nikiszu-bezposrednio-ID4h1WV","katowice",NA,"monitoring / ochrona",NA,"2023-03-30"
"1:187","31,46 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"307 990 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4fuGy","katowice",NA,NA,NA,NA
"1:188","33,4 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","120 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"pustak","349 077 zl","https://www.otodom.pl/pl/oferta/nowoczesny-apartamentowiec-blisko-centrum-0-pcc-ID4h1Nb","katowice","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica, pom. uzytkowe",NA
