"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Okna","Dostepne od"
"1:68","28 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","2/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"310 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-na-pomorzanach-ID4gw27","szczecin","piwnica","plastikowe",NA
"1:69","35,3 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","balkon","250 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","2008","blok","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon","lodówka, kuchenka, pralka","cegla","340 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-kawalerki-z-balkonem-ID4hd6H","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:70","31 m²","pelna wlasnosc","2 ","do zamieszkania","3/3","balkon","240 zl","zapytaj","zapytaj","zapytaj","wtórny","prywatny","2017","blok","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka",NA,"395 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-31m-z-wydzielona-sypialnia-klimatyzacja-ID4ha5x","szczecin","oddzielna kuchnia","plastikowe",NA
"1:71","34 m²","zapytaj","2 ","zapytaj","5/6","taras","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2021","apartamentowiec","tak",NA,NA,NA,NA,"499 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-w-centrum-miasta-ID4hcyF","szczecin",NA,NA,NA
"1:72","20,09 m²","pelna wlasnosc","1 ","do remontu","2/3","zapytaj","zapytaj","zapytaj","tak","elektryczne","wtórny","prywatny",NA,"kamienica","nie",NA,"domofon / wideofon",NA,"cegla","229 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-iip-20m2-do-wl-aranzacji-ID4gZrN","szczecin",NA,"drewniane",NA
"1:73","35,74 m²","pelna wlasnosc","2 ","do wykonczenia","3/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec","tak",NA,NA,NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/okazja-cesja-umowy-deweloperskiej-ID4hcr6","szczecin",NA,"plastikowe",NA
"1:74","28,5 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","1/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-ul-dubois-ID4hbIb","szczecin","piwnica","plastikowe",NA
"1:75","30,57 m²","pelna wlasnosc","1 ","do wykonczenia","4/27","taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","tak",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"beton","499 000 zl","https://www.otodom.pl/pl/oferta/prestizowy-apartament-w-hanza-tower-ID4euXP","szczecin",NA,"aluminiowe",NA
"1:76","31,91 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"silikat","Zapytaj o cene","https://www.otodom.pl/pl/oferta/gardenia-pogodno-ostatnie-kawalerki-z-ogrodkiem-ID4hbeo","szczecin","piwnica","plastikowe",NA
"1:77","31,76 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"silikat","Zapytaj o cene","https://www.otodom.pl/pl/oferta/gardenia-pogodno-kawalerka-z-duzym-tarasem-ID4hbea","szczecin","piwnica","plastikowe",NA
"1:78","33 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","8/10","balkon","480 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","wielka plyta","305 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-przepiekna-panorama-szczecina-ID4hbdp","szczecin","piwnica, oddzielna kuchnia, pom. uzytkowe","plastikowe",NA
"1:79","35,84 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","nie",NA,NA,"meble","wielka plyta","333 000 zl","https://www.otodom.pl/pl/oferta/pomorzany-2-pokoje-1-pietro-niski-blok-ID4h972","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:80","35,03 m²","pelna wlasnosc","1 ","do zamieszkania","6/7","balkon","360 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2020","apartamentowiec","tak",NA,NA,"meble","cegla","374 000 zl","https://www.otodom.pl/pl/oferta/funkcjonalna-kawalerka-z-balkonem-i-m-postojowym-ID4hb1W","szczecin",NA,"plastikowe",NA
"1:81","37,5 m²","zapytaj","2 ","do remontu","1/4","zapytaj","315 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1971","blok","nie","telewizja kablowa",NA,NA,"wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-na-1-pietrze-pomorzany-ID4haY3","szczecin","piwnica",NA,NA
"1:82","36,56 m²","pelna wlasnosc","2 ","do remontu","1/4","zapytaj","190 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","nie",NA,NA,"meble","cegla","251 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-scisle-centrum-szczecina-super-cena-ID4haS1","szczecin","piwnica","plastikowe",NA
"1:83","37,49 m²","spóldzielcze wlasnosciowe","2 ","do remontu","2/5","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1990",NA,"nie",NA,NA,NA,"wielka plyta","314 999 zl","https://www.otodom.pl/pl/oferta/szczecin-pomorzany-2-pokojowe-iip-ID4gD0s","szczecin","oddzielna kuchnia",NA,NA
"1:84","37,76 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","balkon","130 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","apartamentowiec","tak","telewizja kablowa, internet","system alarmowy",NA,"cegla","429 000 zl","https://www.otodom.pl/pl/oferta/centrum-ul-raginisa-2-pok-garaz-balkon-winda-ID4fOx6","szczecin",NA,"plastikowe",NA
"1:85","27 m²","pelna wlasnosc","1 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","tak",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"353 000 zl","https://www.otodom.pl/pl/oferta/apartament-nad-odra-z-wlasna-marina-o-prowizji-ID4haqq","szczecin",NA,NA,NA
"1:86","35,6 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","8/9","balkon","350 zl","zapytaj","","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","314 000 zl","https://www.otodom.pl/pl/oferta/nizsza-cena-park-balkon-winda-niski-czynsz-ID4g3fV","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:87","27,55 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","blok","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,NA,"344 730 zl","https://www.otodom.pl/pl/oferta/rabaty-w-sercu-miasta-sprawdz-ID4hacl","szczecin",NA,"plastikowe",NA
"1:88","36,45 m²","spóldzielcze wl. z KW","2 ","zapytaj","5/10","balkon","270 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1970",NA,"nie",NA,NA,NA,NA,"295 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pokoje-przy-hanza-tower-ID4h5HX","szczecin",NA,NA,"2022-07-15"
"1:89","27,03 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"cegla","351 130 zl","https://www.otodom.pl/pl/oferta/duzy-balkon-idealne-pod-inwestycje-rabaty-ID4h9Nd","szczecin","piwnica",NA,NA
"1:90","27,2 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","167 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1930","kamienica","nie","telewizja kablowa, internet",NA,"meble","cegla","269 000 zl","https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-2-pokojowe-ul-slaska-ID4gvzb","szczecin",NA,NA,NA
"1:91","32,17 m²","pelna wlasnosc","2 ","do remontu","2/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok","nie",NA,NA,"meble","cegla","290 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-ID4gSUp","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:92","31,97 m²","zapytaj","2 ","zapytaj","4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2022","apartamentowiec","tak",NA,NA,NA,NA,"510 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokoje-w-wysokim-standardzie-ID4h9kV","szczecin",NA,NA,NA
"1:93","29,1 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","1/10","zapytaj","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak","telewizja kablowa, internet",NA,NA,"wielka plyta","290 000 zl","https://www.otodom.pl/pl/oferta/urocza-kawalerka-w-srodmiesciu-spoldzielcze-ID4h9aA","szczecin","piwnica",NA,NA
"1:94","30 m²","spóldzielcze wlasnosciowe","1 ","do remontu","4","zapytaj","250 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak",NA,"domofon / wideofon",NA,NA,"252 000 zl","https://www.otodom.pl/pl/oferta/z-mozliwoscia-przerobienia-na-2-pokoje-winda-ID4gWw8","szczecin","piwnica","drewniane",NA
"1:95","34 m²","pelna wlasnosc","2 ","do zamieszkania","5/6","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2021","apartamentowiec","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegla","499 000 zl","https://www.otodom.pl/pl/oferta/mieszanie-34-m2-centrum-szczecina-ID4h8Jo","szczecin","pom. uzytkowe","plastikowe",NA
"1:96","33,93 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"335 907 zl","https://www.otodom.pl/pl/oferta/maly-miejski-apartament-w-prestizowym-projekcie-ID4gB1A","szczecin","piwnica, pom. uzytkowe",NA,NA
"1:97","29,21 m²","pelna wlasnosc","2 ","do remontu","2/4","balkon","406 zl","zapytaj","","miejskie","wtórny","biuro nieruchomosci ","1975",NA,"nie",NA,NA,NA,NA,"249 900 zl","https://www.otodom.pl/pl/oferta/2-pok-niski-blok-szczecin-wszedzie-blisko-ID4fp3N","szczecin","oddzielna kuchnia","plastikowe",NA
"1:98","34 m²","pelna wlasnosc","2 ","zapytaj","1","balkon, taras","530 zl","zapytaj","zapytaj","zapytaj","wtórny","prywatny",NA,"blok","tak",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"307 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-taras-szczecin-centrum-ID4h7LJ","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:99","38 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","> 10/11","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1986","blok","tak",NA,NA,NA,"wielka plyta","335 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-z-pieknym-widokiem-ID4h7ug","szczecin","oddzielna kuchnia",NA,NA
"1:100","26 m²","pelna wlasnosc","1 ","zapytaj","3/4","zapytaj","100 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2017","apartamentowiec","tak",NA,NA,NA,"cegla","349 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-balkon-os-zamkniete-ID4h7u7","szczecin",NA,"plastikowe",NA
"1:101","30,8 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","3/11","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak",NA,NA,NA,"wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-zdroje-swietna-pod-wynajem-ID4gqLu","szczecin","piwnica, pom. uzytkowe",NA,NA
"1:102","27,57 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","blok","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,NA,"344 750 zl","https://www.otodom.pl/pl/oferta/rabaty-w-sercu-miasta-sprawdz-ID4h7kg","szczecin",NA,"plastikowe",NA
"1:103","33 m²","zapytaj","2 ","zapytaj","2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"231 300 zl","https://www.otodom.pl/pl/oferta/mieszkanie-33-m-szczecin-ID4h6Kk","szczecin",NA,NA,NA
"1:104","30 m²","pelna wlasnosc","2 ","zapytaj","4/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1930","kamienica","nie",NA,NA,NA,"cegla","325 000 zl","https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-klimatyzacja-w-centrum-ID4h6JX","szczecin","oddzielna kuchnia",NA,NA
"1:105","37 m²","spóldzielcze wlasnosciowe","2 ","do remontu","3/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","nie","telewizja kablowa, internet",NA,NA,"wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-blisko-centrum-ID4h6Gb","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:106","20,04 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","220 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","nie","telefon",NA,NA,"cegla","239 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-20-m2-1-pietro-centrum-aleja-fontann-ID4h6FS","szczecin",NA,"plastikowe",NA
"1:107","26,4 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/11","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","tak","telewizja kablowa, internet, telefon",NA,NA,"cegla","268 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-z-balkonem-mieszka-i-ID4h6wJ","szczecin","piwnica","plastikowe",NA
"1:108","21,44 m²","pelna wlasnosc","1 ","do zamieszkania","2/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","nie",NA,NA,"meble",NA,"235 000 zl","https://www.otodom.pl/pl/oferta/do-sprzedazy-kawalerka-z-balkonem-ID4h5ch","szczecin",NA,NA,"2022-06-30"
"1:109","30,94 m²","spóldzielcze wlasnosciowe","1 ","do remontu","8/11","zapytaj","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak",NA,NA,NA,"wielka plyta","245 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-kapitalnego-os-gontyny-ID4h52l","szczecin","piwnica",NA,NA
"1:110","35,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","balkon","200 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1955","blok","nie",NA,NA,NA,"cegla","330 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-35-50-m-szczecin-ID4h4YN","szczecin",NA,NA,NA
"1:111","32,4 m²","zapytaj","1 ","do zamieszkania","2","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2010","blok","nie",NA,NA,"meble",NA,"340 000 zl","https://www.otodom.pl/pl/oferta/szczecin-warzymice-jednopokojowe-34-mkw-z-balkonem-ID4gGK7","szczecin",NA,NA,NA
"1:112","35,02 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","240 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1938","kamienica","nie","telewizja kablowa, internet",NA,"meble","cegla","359 000 zl","https://www.otodom.pl/pl/oferta/idealna-nieruchomosc-pod-inwestycje-ID4gTZO","szczecin",NA,NA,NA
"1:113","37 m²","zapytaj","2 ","do zamieszkania","3/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","1979","blok","tak","telewizja kablowa, internet",NA,"meble","wielka plyta","360 000 zl","https://www.otodom.pl/pl/oferta/blisko-centrum-atrakcyjne-2-pok-winda-iiip-ID4elSM","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:114","32,15 m²","zapytaj","2 ","do wykonczenia","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","2021","blok","nie",NA,NA,NA,NA,"295 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-a1-32-15-m2-ID4clfj","szczecin",NA,NA,NA
"1:115","27,58 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","blok","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,NA,"345 015 zl","https://www.otodom.pl/pl/oferta/rabaty-super-rozklady-mieszkan-sprawdz-ID4h4gK","szczecin",NA,"plastikowe",NA
"1:116","37,67 m²","spóldzielcze wlasnosciowe","2 ","do remontu","1/5","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1974","blok","nie",NA,"domofon / wideofon","piekarnik, kuchenka","wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-pomorzany-szczecin-ID4h363","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:117","26 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","3/4","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1970","blok","nie",NA,NA,NA,NA,"269 000 zl","https://www.otodom.pl/pl/oferta/szczecin-kawalerka-po-kapitalnym-remoncie-ID4h2qm","szczecin",NA,"plastikowe",NA
"1:118","30,4 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","zapytaj","200 zl","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","1930","kamienica","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe",NA,"cegla","288 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-288-tys-ID4geEe","szczecin",NA,"plastikowe",NA
"1:119","32,59 m²","pelna wlasnosc","2 ","do zamieszkania","1/6","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","apartamentowiec","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"417 152 zl","https://www.otodom.pl/pl/oferta/powrot-2-pokoje-w-cenie-1-duzy-balkon-ponad-10m2-ID4h25O","szczecin","pom. uzytkowe","plastikowe","2024-12-02"
"1:120","30 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","4/8","zapytaj","230 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,"tak",NA,NA,NA,NA,"255 000 zl","https://www.otodom.pl/pl/oferta/kaliny-kawalerka-sprzedazrowniez-dla-obcokrajowcow-ID4eYjU","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:121","37,94 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","balkon","160 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2008","blok","nie",NA,NA,NA,"wielka plyta","456 000 zl","https://www.otodom.pl/pl/oferta/dabie-kawalerka-z-balkonem-ID4dyHW","szczecin",NA,NA,NA
"1:122","36,5 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","balkon","200 zl","zapytaj","tak","gazowe","wtórny","biuro nieruchomosci ","2011","blok","nie","telewizja kablowa, internet, telefon","domofon / wideofon, rolety antywlamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegla","350 000 zl","https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-klucze-i-mieszkasz-ID4h0up","szczecin",NA,"plastikowe",NA
"1:123","27,57 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2024","blok","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,NA,"345 010 zl","https://www.otodom.pl/pl/oferta/rabaty-w-sercu-miasta-sprawdz-ID4h0fC","szczecin",NA,"plastikowe",NA
"1:124","29 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","279 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"269 000 zl","https://www.otodom.pl/pl/oferta/super-inwestycja-pod-wynajem-kawalerka-z-balkonem-ID4h0bc","szczecin",NA,"plastikowe",NA
"1:125","26,8 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/4","zapytaj","200 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","nie",NA,"rolety antywlamaniowe","lodówka, meble, piekarnik, kuchenka, telewizor",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/centrum-kawalerka-na-sprzedaz-ID4h02M","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:126","32 m²","pelna wlasnosc","1 ","do zamieszkania","2/10","zapytaj","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak","telewizja kablowa, internet, telefon",NA,NA,"wielka plyta","317 000 zl","https://www.otodom.pl/pl/oferta/wylacznosc-kawalerka-na-os-kaliny-przyjazni-ID4gZXM","szczecin",NA,NA,NA
"1:127","35,6 m²","spóldzielcze wlasnosciowe","2 ","do remontu","9/10","zapytaj","463 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","tak","telewizja kablowa, internet","domofon / wideofon",NA,"wielka plyta","267 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-35-6m2-szczecin-niebuszewo-ID4gPRu","szczecin","piwnica","plastikowe","2022-05-23"
"1:128","30,11 m²","zapytaj","1 ","zapytaj","3/4","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2020","blok","tak",NA,NA,NA,"silikat","349 000 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-na-osiedlu-harmonia-gumience-ID4gZMR","szczecin",NA,"plastikowe",NA
"1:129","38 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","200 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1900",NA,"nie",NA,NA,NA,"cegla","323 000 zl","https://www.otodom.pl/pl/oferta/centrum-idealne-pod-wynajem-ID4gZuH","szczecin","piwnica","plastikowe",NA
"1:130","29,45 m²","spóldzielcze wl. z KW","1 ","zapytaj","5/11","zapytaj","zapytaj","zapytaj","Film","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"249 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-pomorzanach-szczecin-ID4gZdA","szczecin","oddzielna kuchnia",NA,NA
"1:131","37,3 m²","spóldzielcze wl. z KW","2 ","do remontu","4/10","balkon","470 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","tak",NA,NA,NA,"wielka plyta","325 000 zl","https://www.otodom.pl/pl/oferta/niebuszewo-2-pokoje-z-balkonem-ID4gr2b","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:132","31,47 m²","zapytaj","1 ","do wykonczenia","5/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020","blok","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/arkona-residence-mieszkanie-nr-50-rezerwacja-ID4gYwS","szczecin",NA,NA,NA
"1:133","29,64 m²","zapytaj","1 ","do wykonczenia","2/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020","blok","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/arkona-residence-mieszkanie-nr-16-rezerwacja-ID4gYwL","szczecin",NA,NA,NA
"1:134","29,64 m²","zapytaj","1 ","do wykonczenia","5/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj","pierwotny","deweloper","2020","blok","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/arkona-residence-mieszkanie-nr-44-ID4gYws","szczecin",NA,NA,NA
"1:135","28,5 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/10","zapytaj","495 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok","tak",NA,NA,"meble","wielka plyta","295 000 zl","https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-oddzielna-kuchnia-i-pietro-ID4gYqd","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
