"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:134","31 m²","zapytaj","2 ","zapytaj","8/11","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,NA,"piwnica",NA,"289 900 zl","https://www.otodom.pl/pl/oferta/m-3-z-garderoba-po-generalnym-remoncie-ID4hgdh","bydgoszcz",NA
"1:135","36,56 m²","zapytaj","2 ","zapytaj","3/10","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","80",NA,"plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/wyzyny-m3-36-5m2-po-remoncie-269-000zl-ID4h2QS","bydgoszcz",NA
"1:136","27,05 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-symfonia-a86-ID4gU9z","bydgoszcz",NA
"1:137","25,89 m²","zapytaj","1 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-symfonia-a87-ID4gU9A","bydgoszcz",NA
"1:138","36,08 m²","pelna wlasnosc","2 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/industria-ponadczasowe-mieszkanie-m40-c-ID4eaUz","bydgoszcz",NA
"1:139","35 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,"piwnica, oddzielna kuchnia","cegla","299 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-ul-gdanska-w-bydgoszczy-ID4bVL0","bydgoszcz",NA
"1:140","32 m²","zapytaj","1 ","zapytaj","8/11","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,NA,NA,"piwnica, oddzielna kuchnia",NA,"215 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-loggia-w-fordonie-ID4h2WN","bydgoszcz",NA
"1:141","26 m²","pelna wlasnosc","1 ","zapytaj","1","zapytaj","350 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,NA,"cegla","185 000 zl","https://www.otodom.pl/pl/oferta/hit-pod-wynajem-kawalerka-kolo-gizinskich-lesne-ID4h2JO","bydgoszcz","2022-06-17"
"1:142","25 m²","zapytaj","1 ","zapytaj","> 10","zapytaj","zapytaj","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,"meble",NA,NA,"209 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-odswiezona-piekny-widok-wzgorze-wolnosci-ID4h16i","bydgoszcz",NA
"1:143","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/11","zapytaj","420 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1987","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,"meble","piwnica, oddzielna kuchnia","wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/bartodzieje-m-3-w-pelni-umeblowane-i-urzadzone-ID4gI9z","bydgoszcz","2022-06-17"
"1:144","24,67 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","4/4","zapytaj","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia",NA,"185 000 zl","https://www.otodom.pl/pl/oferta/najnowsza-oferta-kawalerka-bielawy-ID4gt3m","bydgoszcz",NA
"1:145","24,67 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","4/4","zapytaj","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia",NA,"184 900 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-super-lokalizacja-ID4gt3r","bydgoszcz",NA
"1:146","35 m²","zapytaj","2 ","zapytaj","9/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1975",NA,NA,"tak",NA,NA,NA,NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/piekne-2-pokoje-po-remoncie-ID4hfRr","bydgoszcz",NA
"1:147","38 m²","pelna wlasnosc","2 ","do zamieszkania","1","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2011","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, telewizor, pralka","piwnica",NA,"310 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-38m2-garaz-fordon-ID4hfpe","bydgoszcz",NA
"1:148","25,51 m²","pelna wlasnosc","2 ","zapytaj","1/2","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1920","kamienica","plastikowe","nie","internet, telefon","domofon / wideofon",NA,"piwnica","cegla","210 000 zl","https://www.otodom.pl/pl/oferta/m-3-szwederowo-blisko-starego-rynku-ID4gZf6","bydgoszcz","2022-06-14"
"1:149","35,01 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","zapytaj","240 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1960","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"cegla","243 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-gorzyskowo-szwederowo-swiatlowod-ID4gMNU","bydgoszcz","2022-05-20"
"1:150","25,5 m²","pelna wlasnosc","2 ","zapytaj","1/2","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla","210 000 zl","https://www.otodom.pl/pl/oferta/szwederowo-m3-po-remoncie-polecam-ID4glFD","bydgoszcz",NA
"1:151","37,71 m²","pelna wlasnosc","1 ","zapytaj","3/3","zapytaj","220 zl","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,"kamienica",NA,"tak",NA,"monitoring / ochrona",NA,NA,"cegla","260 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-z-winda-cieszkowskiego-12-ID4h2Xi","bydgoszcz",NA
"1:152","31 m²","pelna wlasnosc","1 ","zapytaj","3/4","balkon","225 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,NA,"piwnica",NA,"249 000 zl","https://www.otodom.pl/pl/oferta/komfortowa-kawalerka-31m2-loggia-ID4hftz","bydgoszcz",NA
"1:153","34 m²","zapytaj","2 ","zapytaj","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1900","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","169 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-34-m-bydgoszcz-ID4h3GJ","bydgoszcz",NA
"1:154","34 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"piwnica",NA,"225 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-miejscem-parkingowym-i-ogrodkiem-jary-ID4gLCY","bydgoszcz",NA
"1:155","35,64 m²","zapytaj","1 ","zapytaj","1/3","balkon","378,13 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,NA,"piwnica",NA,"264 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-na-osiedlu-gorzyskowo-ID4gPFv","bydgoszcz",NA
"1:156","24 m²","zapytaj","1 ","zapytaj","parter/3","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2000","blok","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia","cegla","225 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-nowe-budownictwo-ID4hfgI","bydgoszcz",NA
"1:157","29 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,NA,NA,NA,"199 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-29-m-bydgoszcz-ID4hfbW","bydgoszcz",NA
"1:158","28 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,NA,NA,NA,"199 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-28-m-bydgoszcz-ID4hfbU","bydgoszcz",NA
"1:159","38 m²","zapytaj","2 ","do zamieszkania","2/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,NA,"piwnica",NA,"231 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-bydgoszcz-bartodzieje-ID4hf0Y","bydgoszcz","2022-06-20"
"1:160","37 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,"meble","piwnica",NA,"248 000 zl","https://www.otodom.pl/pl/oferta/swietne-pod-inwestycje-dobra-cena-i-lokalizacja-ID4gQKx","bydgoszcz",NA
"1:161","27,64 m²","zapytaj","1 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"piwnica",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-scislym-centrum-ID4heXw","bydgoszcz",NA
"1:162","30,5 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/industria-wyjatkowe-mieszkanie-m63-d-ID4ecpl","bydgoszcz",NA
"1:163","31,67 m²","pelna wlasnosc","1 ","do wykonczenia","6/11","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/urzecze-eleganckie-mieszkanie-4-65-ID4fRlw","bydgoszcz",NA
"1:164","24 m²","zapytaj","1 ","zapytaj","1/1","balkon","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,"domofon / wideofon",NA,NA,"cegla","170 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-na-ul-dworcowej-ID4heW1","bydgoszcz",NA
"1:165","36 m²","zapytaj","2 ","do zamieszkania","1/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"330 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-centrum-bartodzieje-ID4heU4","bydgoszcz",NA
"1:166","34,41 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4gSpt","bydgoszcz",NA
"1:167","37,6 m²","zapytaj","2 ","zapytaj","4/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"piwnica",NA,"239 000 zl","https://www.otodom.pl/pl/oferta/m-3-bartodzieje-przy-balatonie-winda-ID4heFv","bydgoszcz",NA
"1:168","37,2 m²","pelna wlasnosc","2 ","zapytaj","1/3","zapytaj","220 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia","cegla","229 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-20-m-bydgoszcz-ID4heEF","bydgoszcz",NA
"1:169","34 m²","pelna wlasnosc","2 ","do zamieszkania","3/6","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","silikat","473 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-z-wanna-perlowa-dolina-gotowe-ID4heDM","bydgoszcz",NA
"1:170","33,01 m²","pelna wlasnosc","2 ","do remontu","parter","zapytaj","290 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1940",NA,"plastikowe","nie",NA,NA,NA,NA,"cegla","137 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-maksymilianowie-33m2-ID4heu4","bydgoszcz",NA
"1:171","26,5 m²","pelna wlasnosc","1 ","zapytaj","4/4","taras","240 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak",NA,"monitoring / ochrona",NA,"piwnica, oddzielna kuchnia",NA,"365 000 zl","https://www.otodom.pl/pl/oferta/szwederowo-m2-gotowe-do-wprowadzenia-taras-winda-ID4herX","bydgoszcz",NA
"1:172","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","10/10","balkon","530 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1975","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","meble, pralka","piwnica, oddzielna kuchnia","wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-srodmiescie-ID4gZHO","bydgoszcz",NA
"1:173","36 m²","zapytaj","2 ","zapytaj","4/4","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1995","blok",NA,"nie",NA,NA,NA,"piwnica","cegla","279 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-m-bydgoszcz-ID4gKDY","bydgoszcz",NA
"1:174","30 m²","pelna wlasnosc","2 ","zapytaj","parter/3","zapytaj","245 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"nie",NA,NA,NA,"piwnica","cegla","219 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-m-bydgoszcz-ID4gOXl","bydgoszcz",NA
"1:175","25 m²","pelna wlasnosc","1 ","zapytaj","> 10/11","zapytaj","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1984","blok",NA,"tak",NA,NA,NA,"piwnica",NA,"214 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-25-m-bydgoszcz-ID4h77W","bydgoszcz",NA
"1:176","38 m²","pelna wlasnosc","2 ","do remontu","8/11","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"domofon / wideofon",NA,"piwnica, oddzielna kuchnia","wielka plyta","290 000 zl","https://www.otodom.pl/pl/oferta/m-3-38m2-8-pietro-bartodzieje-ID4henG","bydgoszcz",NA
"1:177","30,06 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica","silikat","217 935 zl","https://www.otodom.pl/pl/oferta/jasna-4-dwupak-scisle-centrum-nowy-budynek-ID4bKUL","bydgoszcz",NA
"1:178","36,63 m²","zapytaj","2 ","do wykonczenia","1/3","taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","silikat","362 637 zl","https://www.otodom.pl/pl/oferta/apartamenty-poznanska-25-m4-ID4cLu3","bydgoszcz",NA
"1:179","35,9 m²","pelna wlasnosc","1 ","do wykonczenia","6/11","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/urzecze-nowoczesne-mieszkanie-4-33-ID4fRka","bydgoszcz",NA
"1:180","36,37 m²","zapytaj","2 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","internet",NA,NA,"pom. uzytkowe",NA,"276 412 zl","https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-z-ogrodkiem-os-panorama-wislana-ID4gBJR","bydgoszcz",NA
"1:181","36,05 m²","zapytaj","3 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","internet",NA,NA,"pom. uzytkowe",NA,"266 770 zl","https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-z-balkonem-osiedle-panorama-ID4gBUD","bydgoszcz",NA
"1:182","34,9 m²","pelna wlasnosc","2 ","zapytaj","parter/4","zapytaj","348 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie",NA,NA,NA,"piwnica","cegla","249 000 zl","https://www.otodom.pl/pl/oferta/bartyodzieje-parter-m-3-35m2-ID4guGY","bydgoszcz",NA
"1:183","33 m²","pelna wlasnosc","2 ","do zamieszkania","parter/1","ogródek","650 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","meble","oddzielna kuchnia","cegla","200 000 zl","https://www.otodom.pl/pl/oferta/nowa-oferta-kompaktowe-dwa-pokoje-ID4h9xt","bydgoszcz",NA
"1:184","31,91 m²","pelna wlasnosc","2 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1920","kamienica","plastikowe","nie",NA,NA,NA,NA,NA,"279 000 zl","https://www.otodom.pl/pl/oferta/piekne-i-komfortowe-w-odrestaurowanej-kamienicy-ID4gNOQ","bydgoszcz",NA
"1:185","37,85 m²","pelna wlasnosc","3 ","zapytaj","3/3","zapytaj","387 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1902","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","329 500 zl","https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-okole-ID4h4VD","bydgoszcz",NA
"1:186","31,67 m²","pelna wlasnosc","1 ","do wykonczenia","5/11","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/urzecze-ladne-mieszkanie-4-60-ID4fRlm","bydgoszcz",NA
"1:187","38 m²","spóldzielcze wl. z KW","2 ","do wykonczenia","4/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"pom. uzytkowe","cegla","229 000 zl","https://www.otodom.pl/pl/oferta/okazja-cenowa-przestronne-m-3-na-kapusciskach-ID4h6QK","bydgoszcz",NA
"1:188","31 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","3/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1982","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,"239 900 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-zamieszkania-ID4h133","bydgoszcz",NA
"1:189","25,5 m²","pelna wlasnosc","2 ","do zamieszkania","1/2","zapytaj","200 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble",NA,"cegla","210 000 zl","https://www.otodom.pl/pl/oferta/piekne-m3-po-remoncie-2022-dabrowskiego-park-ID4gl0q","bydgoszcz",NA
"1:190","34,36 m²","pelna wlasnosc","1 ","do wykonczenia","6/11","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/urzecze-deweloperskie-mieszkanie-4-32-ID4fRk9","bydgoszcz",NA
"1:191","32 m²","zapytaj","2 ","zapytaj","2/3","zapytaj","330 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,NA,NA,"piwnica",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-blisko-centrum-ID4hdi2","bydgoszcz",NA
"1:192","34 m²","pelna wlasnosc","2 ","zapytaj","1/5","zapytaj","400 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2019","blok","plastikowe","tak","telewizja kablowa, internet",NA,NA,"piwnica, oddzielna kuchnia","cegla","304 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-nowy-bloku-umeblowane-ID4g1Cg","bydgoszcz",NA
"1:193","35,64 m²","pelna wlasnosc","1 ","zapytaj","1/3","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2002","blok","drewniane","nie",NA,NA,NA,"piwnica",NA,"264 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-cegla-super-oferta-ID4gKDF","bydgoszcz",NA
"1:194","31,16 m²","pelna wlasnosc","1 ","do zamieszkania","7/11","zapytaj","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1985","blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","240 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-2pokoje-31-16m2-na-przylesiu-ID4gGdN","bydgoszcz",NA
"1:195","37,1 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","7/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,NA,"nie",NA,NA,NA,"piwnica",NA,"269 000 zl","https://www.otodom.pl/pl/oferta/umeblowane-poszukiwana-lokalizacja-ID4gHew","bydgoszcz",NA
"1:196","33,2 m²","pelna wlasnosc","1 ","do wykonczenia","4/11","zapytaj","230 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","229 000 zl","https://www.otodom.pl/pl/oferta/bartodzieje-kawalerka-szpital-jurasza-33m2-4p-ID4hcgF","bydgoszcz","2022-06-14"
"1:197","31 m²","pelna wlasnosc","1 ","do zamieszkania","3/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1984","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","235 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-utp-do-wejscia-ID4h7In","bydgoszcz","2022-06-17"
"1:198","33,81 m²","zapytaj","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","silikat","295 000 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokoje-z-oblednym-widokiem-iii-kw-2022-ID4h4OW","bydgoszcz","2022-08-31"
"1:199","31 m²","spóldzielcze wlasnosciowe","1 ","do remontu","9/11","balkon","375 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","internet","domofon / wideofon",NA,"piwnica, oddzielna kuchnia","wielka plyta","214 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-31m2-loggia-super-widok-szwedrowo-ID4hd2X","bydgoszcz",NA
"1:200","32,43 m²","pelna wlasnosc","2 ","do wykonczenia","4/16","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","292 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-32-43-m-aura-towers-bydgoszcz-ID4gZmT","bydgoszcz",NA
"1:201","37 m²","pelna wlasnosc","2 ","zapytaj","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","blok","plastikowe","tak",NA,NA,NA,"oddzielna kuchnia","cegla","306 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-nowe-osiedle-ID4hcGO","bydgoszcz",NA
"1:202","27,6 m²","pelna wlasnosc","1 ","zapytaj","4/4","balkon","300 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak",NA,NA,NA,"oddzielna kuchnia","cegla","254 100 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-uniwersytecie-ID4hcGp","bydgoszcz",NA
"1:203","36 m²","pelna wlasnosc","2 ","zapytaj","parter/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok","plastikowe","tak",NA,NA,NA,"oddzielna kuchnia",NA,"262 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-miejsce-parkingowe-gratis-ID4hcFH","bydgoszcz",NA
