"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:254","18,27 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"450 339 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgoC","wroclaw",NA,NA,NA
"1:255","32,56 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"791 677 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-32m2-ID4hgoB","wroclaw",NA,NA,NA
"1:256","20,33 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"524 718 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-20m2-ID4hgoy","wroclaw",NA,NA,NA
"1:257","24,21 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"590 387 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-24m2-ID4hgoz","wroclaw",NA,NA,NA
"1:258","26,65 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"686 340 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-ID4hgov","wroclaw",NA,NA,NA
"1:259","28,5 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","10/11","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, piekarnik, kuchenka, pralka","339 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-28-5-m2-kamienna-rondo-powstancow-sl-ID4hdHI","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:260","20,79 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"535 985 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-20m2-ID4hgot","wroclaw",NA,NA,NA
"1:261","20,37 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"499 416 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-20m2-ID4hgou","wroclaw",NA,NA,NA
"1:262","22,26 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"572 196 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-22m2-ID4hgoq","wroclaw",NA,NA,NA
"1:263","19,51 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"504 546 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-19m2-ID4hgor","wroclaw",NA,NA,NA
"1:264","34,13 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"913 865 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-34m2-ID4hgos","wroclaw",NA,NA,NA
"1:265","21,94 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"637 010 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-21m2-balkon-ID4hgop","wroclaw",NA,NA,NA
"1:266","19,93 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"650 670 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-19m2-ID4hgom","wroclaw",NA,NA,NA
"1:267","14,97 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"390 711 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-ID4hgoj","wroclaw",NA,NA,NA
"1:268","29,81 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"787 948 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-29m2-ID4hgok","wroclaw",NA,NA,NA
"1:269","25,1 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"642 060 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-25m2-ID4hgog","wroclaw",NA,NA,NA
"1:270","30,39 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"703 916 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-30m2-ID4hgoh","wroclaw",NA,NA,NA
"1:271","18,48 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"533 492 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgoi","wroclaw",NA,NA,NA
"1:272","15,44 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"492 252 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-15m2-balkon-ID4hgof","wroclaw",NA,NA,NA
"1:273","18,52 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"456 182 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgod","wroclaw",NA,NA,NA
"1:274","33,81 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"963 077 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-33m2-ID4hgob","wroclaw",NA,NA,NA
"1:275","18,13 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"552 834 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgoc","wroclaw",NA,NA,NA
"1:276","18,58 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"457 584 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgoa","wroclaw",NA,NA,NA
"1:277","26,98 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"694 458 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-ID4hgo8","wroclaw",NA,NA,NA
"1:278","14,75 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"514 625 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-ID4hgo5","wroclaw",NA,NA,NA
"1:279","30,64 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"823 718 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-30m2-ID4hgo6","wroclaw",NA,NA,NA
"1:280","15,64 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"428 581 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-15m2-ID4hgo7","wroclaw",NA,NA,NA
"1:281","14,83 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"689 433 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-balkon-ID4hgo4","wroclaw",NA,NA,NA
"1:282","13,52 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"418 089 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-13m2-ID4hgo0","wroclaw",NA,NA,NA
"1:283","24,23 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"757 065 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-24m2-ID4hgo1","wroclaw",NA,NA,NA
"1:284","22,67 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"818 319 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-22m2-balkon-ID4hgo2","wroclaw",NA,NA,NA
"1:285","35,73 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"925 820 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-35m2-ID4hgnZ","wroclaw",NA,NA,NA
"1:286","14,86 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"388 012 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-ID4hgnX","wroclaw",NA,NA,NA
"1:287","22,89 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"637 422 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-22m2-ID4hgnV","wroclaw",NA,NA,NA
"1:288","14,35 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"461 405 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-14m2-ID4hgnW","wroclaw",NA,NA,NA
"1:289","26,59 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"684 864 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-ID4hgnU","wroclaw",NA,NA,NA
"1:290","32,51 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"837 971 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-32m2-ID4hgnT","wroclaw",NA,NA,NA
"1:291","21,98 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"733 953 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-21m2-ID4hgnR","wroclaw",NA,NA,NA
"1:292","33,49 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"854 604 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-33m2-ID4hgnS","wroclaw",NA,NA,NA
"1:293","18,1 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"561 382 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgnQ","wroclaw",NA,NA,NA
"1:294","22,6 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"710 700 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-22m2-ID4hgnP","wroclaw",NA,NA,NA
"1:295","22,25 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"746 690 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-22m2-ID4hgnO","wroclaw",NA,NA,NA
"1:296","19,98 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"856 996 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-19m2-balkon-ID4hgnN","wroclaw",NA,NA,NA
"1:297","26,58 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","taras","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 176 003 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-taras-ID4hgnL","wroclaw",NA,NA,NA
"1:298","21,99 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"704 052 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-21m2-ID4hgnM","wroclaw",NA,NA,NA
"1:299","18,63 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"523 666 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-18m2-ID4hgnJ","wroclaw",NA,NA,NA
"1:300","20,18 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"863 189 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-20m2-balkon-ID4hgnK","wroclaw",NA,NA,NA
"1:301","28,49 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bezposrednio-ID4gX25","wroclaw",NA,NA,NA
"1:302","27 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,"domofon / wideofon","meble","329 000 zl","https://www.otodom.pl/pl/oferta/gwiazdzista-ok-m-miejskie-piwnica-blisko-centrum-ID4hgk6","wroclaw","wielka plyta","piwnica",NA
"1:303","34,01 m²","zapytaj","2 ","do remontu","2/10","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","drewniane","tak","internet",NA,NA,"339 976 zl","https://www.otodom.pl/pl/oferta/hit-nizsza-cena-iwestycja-psie-pole-2-pok-loggia-ID4hgch","wroclaw","wielka plyta","oddzielna kuchnia",NA
"1:304","22,6 m²","spóldzielcze wl. z KW","1 ","zapytaj","4/10","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,NA,NA,"269 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-marynarskiej-comiejskie-po-remoncie-ID4hgag","wroclaw","wielka plyta","oddzielna kuchnia",NA
"1:305","17,18 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","7 zl","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2023","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"274 862,82 zl","https://www.otodom.pl/pl/oferta/mikroapartament-na-kepie-mieszczanskiej-ID4eWRd","wroclaw","silikat",NA,NA
"1:306","34,94 m²","zapytaj","1 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"nie","telewizja kablowa, internet",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-przy-zatorskiej-d1m30-ID4h79i","wroclaw",NA,NA,NA
"1:307","17,2 m²","zapytaj","1 ","zapytaj","3/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"294 120 zl","https://www.otodom.pl/pl/oferta/apartament-inwestycyjny-nad-rzeka-pod-klucz-kepa-ID4hg6e","wroclaw","inne",NA,"2023-12-01"
"1:308","25,73 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","zapytaj","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","2022","kamienica",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",NA,"388 523 zl","https://www.otodom.pl/pl/oferta/w-centrum-pod-inwestycje-gotowe-ii-kw-2022-ID4hg5D","wroclaw",NA,"oddzielna kuchnia",NA
"1:309","29,01 m²","pelna wlasnosc","1 ","zapytaj","parter/7","zapytaj","400 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","2018",NA,"plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"380 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-miejsce-w-garazu-komorka-ID4hg3g","wroclaw",NA,NA,NA
"1:310","35,1 m²","zapytaj","2 ","zapytaj","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"329 111 zl","https://www.otodom.pl/pl/oferta/nowa-inwestycja-w-swietnych-cenach-zielono-ID4hg2h","wroclaw",NA,NA,NA
"1:311","32,79 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-32m2-bezposrednio-ID4ckG4","wroclaw",NA,NA,NA
"1:312","34,01 m²","pelna wlasnosc","2 ","do wykonczenia","3/9","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"439 000 zl","https://www.otodom.pl/pl/oferta/duzy-balkon-8-m2-tramwaj-300m-ID4hfZw","wroclaw",NA,"pom. uzytkowe","2023-12-31"
"1:313","27 m²","zapytaj","1 ","do remontu","parter/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,NA,"299 500 zl","https://www.otodom.pl/pl/oferta/kawalerka-kom-lok-parter-niski-czynsz-grabiszyn-ID4hfYQ","wroclaw",NA,"pom. uzytkowe",NA
"1:314","26 m²","zapytaj","1 ","zapytaj","3/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,NA,"330 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-starym-miescie-ID4hfU0","wroclaw",NA,"piwnica",NA
"1:315","36,6 m²","pelna wlasnosc","2 ","zapytaj","3/3","balkon","260 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok",NA,"tak",NA,NA,"meble","439 200 zl","https://www.otodom.pl/pl/oferta/36-60-m2-2-pokoje-balkon-jagodno-mala-toskania-ID4gsO6","wroclaw",NA,NA,NA
"1:316","15 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","zapytaj","260 zl","zapytaj","","elektryczne","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe","lodówka, meble, kuchenka","215 000 zl","https://www.otodom.pl/pl/oferta/nowoczesne-pod-klucz-swietna-rynku-kawalerka-ID4h2Mc","wroclaw","wielka plyta",NA,NA
"1:317","38 m²","zapytaj","1 ","zapytaj","6/9","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"494 314 zl","https://www.otodom.pl/pl/oferta/kawalerka-38mkw-szczepin-ID4hfPf","wroclaw",NA,NA,NA
"1:318","27 m²","pelna wlasnosc","1 ","zapytaj","parter/10","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1976","blok",NA,"tak",NA,NA,NA,"329 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-swobodnej-inwestycja-piwnica-ID4hfPe","wroclaw","wielka plyta","piwnica, pom. uzytkowe",NA
"1:319","33 m²","spóldzielcze wl. z KW","2 ","zapytaj","10/11","zapytaj","470 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1982",NA,NA,"nie",NA,NA,NA,"380 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-i-ciche-mieszkanie-przy-ul-zmigrodzkiej-ID4hfNs","wroclaw",NA,"pom. uzytkowe",NA
"1:320","32,22 m²","pelna wlasnosc","2 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"362 090 zl","https://www.otodom.pl/pl/oferta/funkcjonalne-rozklady-duze-rabaty-inwestycja-ID4hfK8","wroclaw",NA,NA,NA
"1:321","36,69 m²","zapytaj","1 ","do wykonczenia","1/4","balkon","160 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2000","blok",NA,"tak",NA,NA,NA,"319 999 zl","https://www.otodom.pl/pl/oferta/ok-ul-kielczowskiej-42m2-balkon-parking-piwnica-ID4hfJZ","wroclaw","cegla",NA,NA
"1:322","34 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"monitoring / ochrona",NA,"343 170 zl","https://www.otodom.pl/pl/oferta/gotowe-w-tym-roku-z-balkonem-wysokie-rabaty-ID4hfJL","wroclaw",NA,"piwnica, pom. uzytkowe",NA
"1:323","30,7 m²","zapytaj","1 ","do zamieszkania","5/6","zapytaj","120 zl","garaz/miejsce parkingowe","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"285 000 zl","https://www.otodom.pl/pl/oferta/kamienica-jasna-kawalerka-olbin-inwestycyjnie-ID4hfHw","wroclaw",NA,"piwnica",NA
"1:324","36,92 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","zapytaj","350 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1910","kamienica",NA,"nie",NA,NA,NA,"489 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-200m-do-dominikanskiej-wzg-partyzantow-ID4glW3","wroclaw",NA,"oddzielna kuchnia",NA
"1:325","34 m²","pelna wlasnosc","1 ","zapytaj","2/4","zapytaj","300 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2019",NA,NA,"nie",NA,NA,NA,"499 000 zl","https://www.otodom.pl/pl/oferta/nowe-budownictwo-kawalerka-na-brochowie-ID4hfFI","wroclaw",NA,NA,NA
"1:326","38 m²","zapytaj","2 ","do zamieszkania","1/10","balkon","550 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok","plastikowe","tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,"409 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjne-2-pokoje-borek-ID4g4sW","wroclaw","inne","piwnica",NA
"1:327","30,12 m²","zapytaj","2 ","zapytaj","2/3","zapytaj","160 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie","internet",NA,NA,"429 000 zl","https://www.otodom.pl/pl/oferta/2-pok-ul-piekna-gotowe-do-wprowadzenia-ID4hfAf","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:328","29,5 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2024","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"439 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-widokiem-na-park-centrum-miasta-przy-r-ID4fY39","wroclaw","inne","piwnica","2024-01-01"
"1:329","26,2 m²","zapytaj","1 ","zapytaj","1/5","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"290 256 zl","https://www.otodom.pl/pl/oferta/kawalerka-partynice-najtansza-w-ofercie-klima-ID4hfzB","wroclaw",NA,NA,"2023-03-31"
