"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","cena","urlo","miasto","Material budynku","Rok budowy","Dostepne od"
"1:232","37,3 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","374 700 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-osiedle-na-kozlowce-ID4gQ1t","krakow","wielka plyta",NA,NA
"1:233","26,54 m²","zapytaj","1 ","zapytaj","2/6","zapytaj","zapytaj","garaz/miejsce parkingowe","Film","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",NA,NA,"557 340 zl","https://www.otodom.pl/pl/oferta/luksusowy-apartament-noble-residence-a102-m06-ID4dZms","krakow",NA,"2023",NA
"1:234","26,56 m²","zapytaj","1 ","zapytaj","2/6","zapytaj","zapytaj","garaz/miejsce parkingowe","Film","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",NA,NA,"557 760 zl","https://www.otodom.pl/pl/oferta/atrakcyjny-apartament-noble-residence-a102-m10-ID4d9J4","krakow",NA,"2023",NA
"1:235","29,35 m²","pelna wlasnosc","2 ","do zamieszkania","5/5","zapytaj","365 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny","kamienica","drewniane","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"709 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-sercu-krakowa-400-m-od-rynku-2pok-ID4h8fL","krakow",NA,NA,NA
"1:236","36,39 m²","pelna wlasnosc","2 ","do zamieszkania","parter/10","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","395 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-36m-nowa-huta-bienczyce-ID4hhOC","krakow","wielka plyta","1975",NA
"1:237","34,13 m²","pelna wlasnosc","2 ","zapytaj","5/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","467 581 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkanie-blisko-centrum-miasta-0-pcc-ID4hhMw","krakow","pustak",NA,NA
"1:238","36,57 m²","pelna wlasnosc","2 ","zapytaj","3/9","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","449 000 zl","https://www.otodom.pl/pl/oferta/zamieszkaj-w-wyjatkowej-lokalizacji-bez-prowizji-ID4hhLT","krakow","pustak",NA,NA
"1:239","35,07 m²","pelna wlasnosc","2 ","do wykonczenia","parter/8","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bezposrednio-ID4el52","krakow",NA,NA,NA
"1:240","37,9 m²","pelna wlasnosc","2 ","do remontu","parter/1","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","blok",NA,"nie","telewizja kablowa, internet, telefon",NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","350 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-zaciszu-ID4hhKT","krakow",NA,"1970",NA
"1:241","18 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","zapytaj","200 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica",NA,"tak",NA,"monitoring / ochrona",NA,NA,"199 999 zl","https://www.otodom.pl/pl/oferta/kawalerka-inwest-stare-miasto-wawel-18m2-ID4hhKH","krakow","cegla","1932",NA
"1:242","36 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/4","zapytaj","510 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"monitoring / ochrona","meble","piwnica, oddzielna kuchnia, pom. uzytkowe","385 000 zl","https://www.otodom.pl/pl/oferta/2-pok-w-swietnej-lokalizacji-blisko-centrum-ID4hhKv","krakow",NA,"1960",NA
"1:243","15 m²","udzial","1 ","zapytaj","1/4","balkon","zapytaj","zapytaj","tak","inne","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"teren zamkniety, domofon / wideofon",NA,NA,"149 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-i-miejscem-postojowym-ID4bApp","krakow","cegla",NA,"2022-04-27"
"1:244","36,95 m²","pelna wlasnosc","2 ","do remontu","2/4","zapytaj","300 zl","zapytaj","tak","miejskie","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon",NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","329 000 zl","https://www.otodom.pl/pl/oferta/ustawne-37m2-w-centrum-nowej-huty-blisko-zalewu-ID4gq9N","krakow","cegla","1955","2022-06-21"
"1:245","15 m²","udzial","1 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","tak","gazowe","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"teren zamkniety, domofon / wideofon",NA,NA,"149 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-stanie-deweloperskim-nowa-inwestycja-ID4bR0R","krakow","cegla",NA,"2021-12-15"
"1:246","17,3 m²","udzial","1 ","zapytaj","parter/3","ogródek","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"nie",NA,"teren zamkniety, domofon / wideofon",NA,NA,"259 500 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodem-nowa-inwestycja-bez-pcc-ID4gZDU","krakow",NA,NA,"2022-07-31"
"1:247","30 m²","udzial","1 ","zapytaj","1/2","ogródek, taras","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"nie",NA,"teren zamkniety, domofon / wideofon",NA,NA,"350 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-tarasem-ogrod-miejsce-postojowe-ID4gZQl","krakow",NA,NA,"2022-07-31"
"1:248","22 m²","udzial","1 ","zapytaj","1/2","balkon, ogródek","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"nie",NA,"teren zamkniety, domofon / wideofon",NA,NA,"261 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-i-miejscem-postojowym-ogrode-ID4gZQk","krakow",NA,NA,"2022-07-31"
"1:249","29 m²","zapytaj","1 ","do zamieszkania","2/8","zapytaj","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,"monitoring / ochrona",NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-z-aneksem-os-kombatantow-ID4hhIF","krakow",NA,NA,NA
"1:250","34 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","balkon","260 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","prywatny","blok",NA,"nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe","zmywarka, meble, piekarnik, telewizor","piwnica, oddzielna kuchnia","449 000 zl","https://www.otodom.pl/pl/oferta/ul-szuwarowa-pokoj-kuchnia-garderoba-34-m2-ID4gC58","krakow","pustak","1999",NA
"1:251","35 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","ogródek","110 zl","garaz/miejsce parkingowe","tak","gazowe","wtórny","prywatny","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia, pom. uzytkowe","488 000 zl","https://www.otodom.pl/pl/oferta/male-mieszkanie-blisko-wisly-i-centrum-ID4gXQw","krakow","cegla","1935",NA
"1:252","24,51 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","50 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"220 000 zl","https://www.otodom.pl/pl/oferta/kawalerka25m2-poludniowa-strona-parkingwlasciciel-ID4g767","krakow","cegla","2022",NA
"1:253","25,8 m²","pelna wlasnosc","1 ","do wykonczenia","parter/1","ogródek","50 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"oddzielna kuchnia, pom. uzytkowe","225 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjna-kawalerka-26m2-z-dwoma-ogrodkami-ID4gBHl","krakow","cegla","2022",NA
"1:254","24,5 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","50 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"oddzielna kuchnia","220 000 zl","https://www.otodom.pl/pl/oferta/kawalerka24-5m2-poludniowa-strona-parkingwlascicie-ID4haMZ","krakow","cegla","2022",NA
"1:255","28,83 m²","pelna wlasnosc","1 ","do wykonczenia","3/11","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"364 987 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4gDJL","krakow",NA,NA,NA
"1:256","32,5 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","balkon","zapytaj","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/bezposrednio-gotowe-bez-pcc-krakow-ID4hbOs","krakow",NA,"2022",NA
"1:257","34,9 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, piekarnik, kuchenka","piwnica","457 500 zl","https://www.otodom.pl/pl/oferta/35-m2-2-pokoje-po-remoncie-stare-miasto-ID4hhzH","krakow","cegla","1960","2022-06-22"
"1:258","23,6 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, teren zamkniety, monitoring / ochrona",NA,NA,"305 000 zl","https://www.otodom.pl/pl/oferta/mini-apartament-23-6-m2-wykonczony-ID4fbIG","krakow","cegla","2004",NA
"1:259","36,4 m²","pelna wlasnosc","2 ","do zamieszkania","1/1","zapytaj","367 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon",NA,NA,NA,"465 000 zl","https://www.otodom.pl/pl/oferta/klimatyczne-2-pok-z-miejscem-parkingowym-ID4hhrD","krakow","cegla","1960","2022-07-01"
"1:260","31,06 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","450 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","465 900 zl","https://www.otodom.pl/pl/oferta/bronowice-mieszkanie-2-pokojowe-31-06m2-ID4hhz2","krakow","zelbet","2014",NA
"1:261","37 m²","zapytaj","2 ","zapytaj","9/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"389 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-37-mkw-krowodrza-ID4hhxE","krakow",NA,NA,NA
"1:262","23 m²","pelna wlasnosc","1 ","do remontu","4/11","balkon","365 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,NA,"190 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-ID4hhvA","krakow","wielka plyta",NA,NA
"1:263","20,95 m²","zapytaj","1 ","do wykonczenia","1/2","zapytaj","150 zl","zapytaj","tak","elektryczne","pierwotny","prywatny","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,"269 000 zl","https://www.otodom.pl/pl/oferta/ustawna-kawalerka-21m2-obok-parku-lotnikow-ID4h083","krakow","pustak",NA,NA
"1:264","31 m²","pelna wlasnosc","2 ","do zamieszkania","3","zapytaj","200 zl","zapytaj","Film","miejskie","wtórny","biuro nieruchomosci ","kamienica","drewniane","tak","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor",NA,"625 000 zl","https://www.otodom.pl/pl/oferta/piekny-apartament-w-samym-sercu-krakowa-ID4d5b4","krakow",NA,NA,NA
"1:265","36 m²","zapytaj","2 ","do zamieszkania","parter/4","zapytaj","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","meble","piwnica","385 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-do-zamieszkania-dobra-lokalizacja-ID4hhwj","krakow","cegla","1965",NA
"1:266","20,78 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","ogródek","270 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","drewniane","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka","piwnica, pom. uzytkowe","310 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-20-78-m2-krowodrza-ID4hf4A","krakow","cegla","1955",NA
"1:267","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/5","balkon","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","meble, telewizor, pralka","piwnica","443 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-do-wejscia-balkon-miejsce-postojowe-ID4hhun","krakow","cegla","2017",NA
"1:268","36,6 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/os-piastow-mistrzejowice-balkon-winda-3p-ID4hhrW","krakow",NA,NA,NA
"1:269","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","1","zapytaj","430 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","490 000 zl","https://www.otodom.pl/pl/oferta/ul-skarbinskiego-10-do-sprzedania-ID4eiQF","krakow",NA,NA,NA
"1:270","38 m²","pelna wlasnosc","2 ","do wykonczenia","2","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","371 282 zl","https://www.otodom.pl/pl/oferta/2-pokoje-balkon-20-min-od-centrum-krakowa-ID4h4KL","krakow","cegla","2022",NA
"1:271","38 m²","pelna wlasnosc","2 ","do wykonczenia","3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","443 253 zl","https://www.otodom.pl/pl/oferta/2-pokoje-bez-pcc-blisko-uczelni-3-5km-centrum-ID4h5dA","krakow","cegla","2022",NA
"1:272","32,53 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/przesterzenie-banacha-bez-podatku-pcc-i-prowizji-ID4hhp3","krakow","cegla","2022",NA
"1:273","37,8 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","2/2","balkon","400 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. uzytkowe","510 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-2-balkony-ul-chelmonskiego-ID4hhp1","krakow","cegla","2008",NA
"1:274","37,8 m²","pelna wlasnosc","2 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/mieszkanie-stare-podgorze-ul-rekawka-32-ID4gBGA","krakow","cegla","2022",NA
"1:275","28 m²","zapytaj","2 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"420 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-2pok-28-m2-nowe-bud-ID4h52v","krakow","zelbet","2022","2022-06-08"
"1:276","35 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","internet","domofon / wideofon","lodówka, meble, pralka","piwnica, oddzielna kuchnia","459 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-jasne-sloneczne-mieszkanie-z-balkonem-ID4hhoj","krakow","cegla","2008",NA
"1:277","37 m²","pelna wlasnosc","2 ","do zamieszkania","3/3","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","internet","domofon / wideofon","lodówka, meble, kuchenka","piwnica","379 000 zl","https://www.otodom.pl/pl/oferta/okazja-ladne-mieszkanie-2pok-krowodrza-ID4hhlo","krakow","cegla","1965","2022-07-01"
"1:278","17 m²","pelna wlasnosc","1 ","do zamieszkania","3/8","zapytaj","300 zl","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,NA,"185 000 zl","https://www.otodom.pl/pl/oferta/wroclawska-swietna-inwestycja-biuro-krowodrza-ID4gXvS","krakow","zelbet","1985","2022-06-01"
"1:279","36,74 m²","pelna wlasnosc","2 ","do zamieszkania","5/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"395 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-aneksem-do-wejscia-ID4h025","krakow",NA,"1980",NA
"1:280","35,1 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"418 000 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-pachonskiego-ostatnie-pietro-ID4eHAC","krakow",NA,"2020",NA
"1:281","24,5 m²","zapytaj","1 ","do zamieszkania","parter/10","zapytaj","260 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","drewniane","nie","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica","300 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-ul-spoldzielcow-ID4hhft","krakow","inne","1970","2022-08-31"
"1:282","26,5 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","260 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,"oddzielna kuchnia","430 000 zl","https://www.otodom.pl/pl/oferta/jozefinska-studio-do-wejscia-26-50m2-ii-pietro-ID4hfIw","krakow","cegla","1899",NA
"1:283","22,58 m²","zapytaj","1 ","zapytaj","poddasze/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"350 000 zl","https://www.otodom.pl/pl/oferta/stare-miasto-ul-dunajewskiego-ID4hhcX","krakow",NA,NA,NA
"1:284","34,13 m²","pelna wlasnosc","2 ","zapytaj","4/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","467 581 zl","https://www.otodom.pl/pl/oferta/zamieszkaj-w-doskonalej-lokalizacji-hot-promocja-ID4hhap","krakow","pustak",NA,NA
"1:285","17 m²","pelna wlasnosc","1 ","do zamieszkania","parter/2","zapytaj","160 zl","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","meble",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/1-pokoj-gotowy-interes-wola-justowska-ID4hhac","krakow","cegla","2000",NA
"1:286","36,95 m²","pelna wlasnosc","2 ","zapytaj","parter/4","ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","377 814 zl","https://www.otodom.pl/pl/oferta/ogrodek-super-rabaty-kup-juz-dzis-bez-prowizji-ID4hh9L","krakow","pustak",NA,NA
"1:287","36,1 m²","pelna wlasnosc","2 ","do remontu","2/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,"monitoring / ochrona","meble","piwnica, oddzielna kuchnia, pom. uzytkowe","505 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-36m2-stare-miasto-z-antresola-ID4hh7R","krakow","cegla","1896",NA
"1:288","33,02 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","zapytaj","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak","internet",NA,NA,NA,"544 830 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-idealne-pod-wynajem-ID4hh3E","krakow",NA,"2017",NA
"1:289","36,39 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,"oddzielna kuchnia","395 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-os-kazimierzowskie-ID4hh3A","krakow",NA,NA,NA
"1:290","37,5 m²","pelna wlasnosc","1 ","do remontu","3/4","zapytaj","369 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet",NA,NA,NA,"375 000 zl","https://www.otodom.pl/pl/oferta/ustawna-kawalerka-blisko-ronda-mogilskiego-ID4hh2d","krakow","cegla","1970",NA
"1:291","34,59 m²","zapytaj","2 ","do wykonczenia","4/6","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"688 341 zl","https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-pod-najem-lub-biuro-ID4hh0X","krakow",NA,"2022",NA
"1:292","24,3 m²","zapytaj","1 ","do remontu","7/10","zapytaj","250 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica","289 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-biurowcow-pilotow-olsza-widokowe-ID4h57A","krakow","zelbet","1980","2022-06-18"
"1:293","38 m²","pelna wlasnosc","2 ","do zamieszkania","2/7","balkon","450 zl","zapytaj","","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"635 000 zl","https://www.otodom.pl/pl/oferta/zablocie-2-pokoje-atal-residence-wykonczone-ID4gYHU","krakow","beton","2021",NA
"1:294","34,52 m²","zapytaj","2 ","zapytaj","2/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,NA,"389 000 zl","https://www.otodom.pl/pl/oferta/ul-banacha-2-pokoje-34-52m2-wrzesien-2022r-ID4hgZl","krakow",NA,"2022","2022-08-01"
"1:295","30,34 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","balkon, ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-ID4hgHy","krakow",NA,NA,NA
"1:296","36,73 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka, pralka","piwnica, oddzielna kuchnia, pom. uzytkowe","510 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-36-73-m2-ul-miechowity-pilotow-ID4hgWP","krakow","inne",NA,NA
