"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Dostepne od"
"1:968","37 m²","pelna wlasnosc","2 ","zapytaj","3/3","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1950",NA,"plastikowe","nie",NA,"monitoring / ochrona",NA,"cegla","510 000 zl","https://www.otodom.pl/pl/oferta/ladne-dwa-pokoje-na-starych-bielanach-ID4hfxW","warszawa","piwnica, oddzielna kuchnia",NA
"1:969","27,5 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/10","zapytaj","370 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1972","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","lodówka, piekarnik, kuchenka, pralka",NA,"390 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-bielanach-ID4hff7","warszawa","piwnica",NA
"1:970","35,07 m²","pelna wlasnosc","2 ","do zamieszkania","2/5","zapytaj","690 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1914","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","599 000 zl","https://www.otodom.pl/pl/oferta/gotowa-inwestycja-w-samym-centrum-warszawy-ID4goXd","warszawa","piwnica","2022-07-10"
"1:971","37,5 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","10/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1968","blok",NA,"tak",NA,"domofon / wideofon, monitoring / ochrona","meble",NA,"630 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-pieknym-widokiem-na-warszawe-ID4hfuP","warszawa","piwnica",NA
"1:972","37 m²","pelna wlasnosc","2 ","do remontu","8/12","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1964","blok","plastikowe","tak","telewizja kablowa, internet",NA,NA,NA,"599 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-przy-metrze-w-centrum-z-widokiem-na-pkin-ID4hftS","warszawa","piwnica",NA
"1:973","21,28 m²","pelna wlasnosc","1 ","zapytaj","1/3","zapytaj","230 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"cegla","440 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowe-miejsce-na-zoliborzu-tuz-przy-metrze-ID4hft6","warszawa","piwnica",NA
"1:974","37,9 m²","zapytaj","2 ","do zamieszkania","10/10","balkon","869 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",NA,"400 000 zl","https://www.otodom.pl/pl/oferta/2-pok-osobne-ii-linia-metradoskonala-inwestycja-ID4hfrV","warszawa","piwnica, oddzielna kuchnia",NA
"1:975","20 m²","zapytaj","1 ","do wykonczenia","8/27","balkon, taras","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,NA,"272 000 zl","https://www.otodom.pl/pl/oferta/widok-na-centrumwola-ul-kasprzaka-metro-klima-ID3FgrG","warszawa","pom. uzytkowe",NA
"1:976","38 m²","zapytaj","2 ","do zamieszkania","3/4","balkon","350 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1973","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","pustak","399 000 zl","https://www.otodom.pl/pl/oferta/obnizona-cena-przytulne-2-pokoje-ID4gTt8","warszawa","piwnica, pom. uzytkowe","2022-07-01"
"1:977","37,5 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1970","blok","plastikowe","nie",NA,"domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","wielka plyta","539 000 zl","https://www.otodom.pl/pl/oferta/m-dwupokojowe-37-5-mkw-metro-targowek-bezposr-ID4hbqZ","warszawa","piwnica",NA
"1:978","36,2 m²","zapytaj","2 ","do wykonczenia","4/4","balkon","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","blok",NA,"tak",NA,"domofon / wideofon",NA,"pustak","435 000 zl","https://www.otodom.pl/pl/oferta/okazja-2-pokoje-36-20-m2-w-nowoczesnym-osiedlu-ID4gYDK","warszawa",NA,"2022-09-01"
"1:979","30,07 m²","pelna wlasnosc","2 ","zapytaj","2/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1905","kamienica","drewniane","tak",NA,NA,NA,"cegla","856 995 zl","https://www.otodom.pl/pl/oferta/kamienica-w-trakcie-rewitalizacji-przy-parku-a-06-ID4gAIw","warszawa","piwnica",NA
"1:980","29 m²","pelna wlasnosc","1 ","zapytaj","2/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,NA,"320 000 zl","https://www.otodom.pl/pl/oferta/pokoj-z-aneksem-kuchennym-balkon-ID4gYvX","warszawa",NA,NA
"1:981","37 m²","zapytaj","2 ","zapytaj","7/16","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980",NA,NA,"tak","telewizja kablowa, internet","domofon / wideofon",NA,NA,"390 000 zl","https://www.otodom.pl/pl/oferta/1-2-pok-r-wiatraczna-jasne-i-ciche-duzy-balkon-ID4hfow","warszawa",NA,NA
"1:982","32,62 m²","pelna wlasnosc","2 ","do remontu","1/10","zapytaj","520 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak",NA,"system alarmowy, monitoring / ochrona",NA,"wielka plyta","402 000 zl","https://www.otodom.pl/pl/oferta/przytulne-m2-na-woli-ID4gPRw","warszawa",NA,NA
"1:983","21,1 m²","pelna wlasnosc","1 ","do wykonczenia","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,"system alarmowy",NA,"silikat","255 000 zl","https://www.otodom.pl/pl/oferta/inwestycja-m2trocka-255000zl-21-1m2-ID4gUKA","warszawa",NA,NA
"1:984","38 m²","zapytaj","2 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"531 429 zl","https://www.otodom.pl/pl/oferta/galeria-mokotow-centrum-biznesowe-ID4hfmM","warszawa","piwnica, pom. uzytkowe",NA
"1:985","25 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/10","zapytaj","300 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","kuchenka",NA,"398 000 zl","https://www.otodom.pl/pl/oferta/piekna-kawalerka-po-remoncie-wum-ID4h29s","warszawa","piwnica",NA
"1:986","38 m²","pelna wlasnosc","2 ","zapytaj","zapytaj","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"cegla","341 000 zl","https://www.otodom.pl/pl/oferta/2-pok-idealna-inwestycja-ID4hflT","warszawa",NA,NA
"1:987","35 m²","pelna wlasnosc","1 ","do remontu","2/4","zapytaj","430 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","1955","kamienica","plastikowe","tak","internet, telefon","domofon / wideofon","lodówka","cegla","489 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-spokojnej-okolicy-na-ochocie-ID4hfly","warszawa","piwnica, oddzielna kuchnia",NA
"1:988","37,31 m²","pelna wlasnosc","2 ","do wykonczenia","2","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"cegla","368 465 zl","https://www.otodom.pl/pl/oferta/najtansze-mieszkanie-oferta-do-konca-tygodnia-ID4hfkK","warszawa","pom. uzytkowe",NA
"1:989","32,8 m²","pelna wlasnosc","2 ","do zamieszkania","6/8","balkon","490 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","inne","630 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-praga-polnoc-ul-kijowska-ID4h94P","warszawa",NA,"2022-06-10"
"1:990","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","drewniane","nie","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",NA,"wielka plyta","505 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-idealne-dla-mlodej-rodziny-bielany-38m2-ID4gY0p","warszawa","piwnica","2022-05-30"
"1:991","33,8 m²","pelna wlasnosc","1 ","do zamieszkania","3/8","balkon","430 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","wielka plyta","519 000 zl","https://www.otodom.pl/pl/oferta/swietna-kawalerka-w-centrum-mokotowa-ID4h3Gz","warszawa","piwnica","2022-06-08"
"1:992","18,36 m²","zapytaj","1 ","do wykonczenia","4/24","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"284 636,59 zl","https://www.otodom.pl/pl/oferta/powrot-do-sprzedazy-lokali-juz-od-284-636-zl-wola-ID4hfik","warszawa",NA,"2022-08-01"
"1:993","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","parter/3","zapytaj","550 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",NA,"519 000 zl","https://www.otodom.pl/pl/oferta/nowolipki-pawia-2-pokoje-plus-kuchnia-ciche-ID4gz6L","warszawa","piwnica, oddzielna kuchnia","2022-10-01"
"1:994","37,5 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","> 10/17","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1969","blok","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,NA,"820 000 zl","https://www.otodom.pl/pl/oferta/widok-na-pkin-mieszkanie-w-stanie-idealnym-ID4hfhD","warszawa",NA,NA
"1:995","35,2 m²","pelna wlasnosc","1 ","do zamieszkania","2/11","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2011","apartamentowiec",NA,"tak",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","meble",NA,"545 600 zl","https://www.otodom.pl/pl/oferta/bitwy-warszawy-kawalerka-ID4cKum","warszawa",NA,NA
"1:996","35,75 m²","zapytaj","2 ","zapytaj","1/6","balkon","402,93 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,NA,NA,"499 000 zl","https://www.otodom.pl/pl/oferta/blisko-centrum-2-pokoje-balkon-ID4gVUT","warszawa","oddzielna kuchnia",NA
"1:997","27,6 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","zapytaj","280 zl","zapytaj","tak","miejskie","wtórny","prywatny","1930","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"cegla","499 000 zl","https://www.otodom.pl/pl/oferta/bezposrednio-27-m-w-kamienicy-na-powislu-ID4hffC","warszawa",NA,NA
"1:998","36,4 m²","pelna wlasnosc","2 ","do zamieszkania","6/6","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1961","blok",NA,"tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","meble","cegla","720 000 zl","https://www.otodom.pl/pl/oferta/rewelacyjne-2-pokoje-przy-placu-bankowym-ID4dglF","warszawa",NA,"2022-01-01"
"1:999","36 m²","pelna wlasnosc","2 ","do zamieszkania","5/5","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1950","kamienica","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","840 000 zl","https://www.otodom.pl/pl/oferta/kamienica-srodmiescie-pld-koszykowa-2pok-36m-ID4gM5C","warszawa",NA,NA
"1:1000","37,44 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1956","blok",NA,"tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"cegla","769 000 zl","https://www.otodom.pl/pl/oferta/unikatowe-mieszkanie-w-warszawie-centrum-ID4hdjO","warszawa","piwnica","2022-01-31"
"1:1001","37,75 m²","pelna wlasnosc","1 ","do zamieszkania","5/8","balkon","400 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2017",NA,"drewniane","tak","telewizja kablowa, internet",NA,"meble",NA,"650 000 zl","https://www.otodom.pl/pl/oferta/designerskie-studio-na-osiedlu-bliska-wola-ID4hfdT","warszawa",NA,NA
"1:1002","26,11 m²","zapytaj","1 ","do zamieszkania","parter/3","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1961","blok",NA,"nie",NA,"domofon / wideofon","meble","cegla","470 000 zl","https://www.otodom.pl/pl/oferta/swietna-inwestycja-muranow-kawalerka-ID4gqO4","warszawa","piwnica","2022-05-31"
"1:1003","31 m²","pelna wlasnosc","1 ","do zamieszkania","2/10","zapytaj","600 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak","internet","domofon / wideofon","meble","wielka plyta","399 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-wprowadzenia-ul-kartaginy-ID4gDxg","warszawa",NA,"2022-04-06"
"1:1004","26 m²","zapytaj","2 ","do zamieszkania","5/11","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka","inne","359 000 zl","https://www.otodom.pl/pl/oferta/okazja-kawalerka-10-min-od-metra-do-wprowadzenia-ID4gR4F","warszawa",NA,"2022-05-31"
"1:1005","24,4 m²","pelna wlasnosc","1 ","do remontu","parter/10","zapytaj","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1969","blok",NA,"nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","meble","wielka plyta","359 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-zielonych-bielanach-ID4h3ia","warszawa",NA,"2022-06-20"
"1:1006","29,22 m²","pelna wlasnosc","1 ","do zamieszkania","parter/5","taras","zapytaj","garaz/miejsce parkingowe","Film","gazowe","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","meble","inne","520 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowa-kawalerka-z-tarasem-parter-ID4hcdg","warszawa",NA,"2022-06-30"
"1:1007","31,02 m²","pelna wlasnosc","2 ","do remontu","8/10","balkon","400 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"tak",NA,NA,NA,NA,"415 000 zl","https://www.otodom.pl/pl/oferta/31-m2-mokotow-przy-uczelni-idealna-inwestycja-ID4hfdw","warszawa","piwnica",NA
"1:1008","38 m²","zapytaj","3 ","do zamieszkania","9/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"inne","590 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-ochocie-ID4hfcv","warszawa",NA,NA
"1:1009","38 m²","zapytaj","1 ","zapytaj","4/6","zapytaj","619 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2005",NA,NA,"nie",NA,NA,NA,NA,"513 000 zl","https://www.otodom.pl/pl/oferta/urocze-studio-oddzielna-kuchnia-metro-ID4h8nx","warszawa",NA,NA
"1:1010","30 m²","pelna wlasnosc","2 ","do zamieszkania","4/10","zapytaj","385 zl","zapytaj","","miejskie","wtórny","biuro nieruchomosci ","1979","blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","350 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-bemowo-borowej-g-30m2-sprzedaz-ID4hf9y","warszawa","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:1011","35,58 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","1/4","balkon","680 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1970",NA,"plastikowe","nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, pralka",NA,"465 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjne-2-pok-mieszkanie-z-widokiem-na-park-ID4hf9u","warszawa","piwnica",NA
"1:1012","24 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1936","kamienica","drewniane","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","430 000 zl","https://www.otodom.pl/pl/oferta/stylowa-kawalerka-w-przedwojennej-kamiennicy-ID4hf92","warszawa","piwnica",NA
"1:1013","32 m²","pelna wlasnosc","1 ","do zamieszkania","1/8","balkon","450 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","2022","szeregowiec","drewniane","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","inne","928 000 zl","https://www.otodom.pl/pl/oferta/nowoczesny-designerski-apartament-na-powislu-ID4h6EX","warszawa",NA,NA
"1:1014","37 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"nie",NA,NA,"meble",NA,"365 990 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-spokojnej-okolicy-ID4hf7e","warszawa","oddzielna kuchnia",NA
"1:1015","38 m²","spóldzielcze wl. z KW","2 ","zapytaj","4/4","balkon","390 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"nie",NA,NA,NA,NA,"430 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-widok-na-zielen-wum-ID4hf7d","warszawa","piwnica, pom. uzytkowe",NA
"1:1016","24,5 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","382 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","nie","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"400 000 zl","https://www.otodom.pl/pl/oferta/stan-dewelop-kupujacy-nie-placi-2-pcc-metro-ID4gzpV","warszawa",NA,NA
"1:1017","37,58 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","kotlownia","wtórny","prywatny","2022","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"cegla","419 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-glebocka-pok-1-2-ID4gjWg","warszawa",NA,NA
"1:1018","37 m²","zapytaj","2 ","zapytaj","3/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,"550 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-zoliborzu-ID4hf3R","warszawa",NA,NA
"1:1019","27,1 m²","pelna wlasnosc","1 ","zapytaj","4/9","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1966","kamienica","plastikowe","tak","telewizja kablowa, internet",NA,NA,NA,"435 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-super-lokalizacji-na-powislu-ID4hf3G","warszawa","piwnica",NA
"1:1020","34,3 m²","zapytaj","2 ","zapytaj","4/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1970",NA,NA,"tak",NA,NA,NA,NA,"420 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-pradze-poludnie-ID4hf3E","warszawa","piwnica",NA
"1:1021","32,82 m²","pelna wlasnosc","1 ","do zamieszkania","8/11","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1960","blok",NA,"tak","internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka","inne","515 000 zl","https://www.otodom.pl/pl/oferta/studio-przy-placu-bankowym-w-poblizu-metro-ID4hf3r","warszawa","piwnica","2022-05-16"
"1:1022","38 m²","spóldzielcze wl. z KW","2 ","do remontu","6/10","balkon","550 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1973",NA,"plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","meble",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-oddzielna-widna-kuchnia-metro-ID4hf31","warszawa","piwnica",NA
"1:1023","37,52 m²","pelna wlasnosc","2 ","do wykonczenia","parter","ogródek","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"cegla","371 333 zl","https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-11-min-do-stacji-metra-ID4haBj","warszawa","pom. uzytkowe",NA
"1:1024","37,5 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","10/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1968","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"cegla","628 000 zl","https://www.otodom.pl/pl/oferta/warszawa-mokotow-gorny-mokotow-ul-bruna-ID4hf18","warszawa","piwnica",NA
"1:1025","36,5 m²","pelna wlasnosc","2 ","zapytaj","9/10","zapytaj","470 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1978",NA,NA,"tak",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"510 000 zl","https://www.otodom.pl/pl/oferta/lindego-do-zamieszkania-2-pokoje-przy-metrze-ID4h7HE","warszawa","piwnica",NA
"1:1026","33,5 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","balkon","520 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny","2013","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegla","415 400 zl","https://www.otodom.pl/pl/oferta/2-pokoje-33-5-m2-warszawa-wawer-ul-klimontowska-ID4h1TH","warszawa",NA,NA
"1:1027","28 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","parter/10","zapytaj","389 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1968","blok","plastikowe","nie","telewizja kablowa","domofon / wideofon","piekarnik, kuchenka","wielka plyta","409 000 zl","https://www.otodom.pl/pl/oferta/bezposrednio-28m2-w-srodmiesciu-ID4heXM","warszawa","piwnica, oddzielna kuchnia",NA
"1:1028","36 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","590 000 zl","https://www.otodom.pl/pl/oferta/wyremontowana-kawalerka-tuz-przy-uczelni-wat-ID4heXh","warszawa","piwnica, oddzielna kuchnia",NA
"1:1029","37,5 m²","zapytaj","2 ","zapytaj","4/4","balkon","560 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok","plastikowe","nie",NA,"teren zamkniety","meble",NA,"480 000 zl","https://www.otodom.pl/pl/oferta/do-wprowadzenia-pod-inwestycje-gen-zajaczka-23-ID4h0SB","warszawa","piwnica",NA
"1:1030","28 m²","pelna wlasnosc","1 ","do zamieszkania","5/9","zapytaj","260 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,"meble","cegla","637 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-1-pokojowe-gotowe-do-wprowadzenia-ID4fMDb","warszawa","piwnica","2022-06-26"
"1:1031","19 m²","pelna wlasnosc","1 ","do wykonczenia","4","balkon","220 zl","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"cegla","284 636 zl","https://www.otodom.pl/pl/oferta/blisko-metra-idealne-dla-inwestora-ID4heWN","warszawa","piwnica, pom. uzytkowe","2022-06-20"
"1:1032","28 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","5/10","zapytaj","310 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1976","blok","plastikowe","tak","telewizja kablowa, internet",NA,"meble","inne","390 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-metrze-marymont-ID4gZTX","warszawa","oddzielna kuchnia","2022-06-26"
