"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od","Rok budowy"
"1:221","36,8 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","4/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,"pom. uzytkowe",NA,"225 000 zl","https://www.otodom.pl/pl/oferta/m3-z-balkonem-ID4hfA0","lodz",NA,"1698"
"1:222","34,5 m²","pelna wlasnosc","2 ","zapytaj","7/11","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,NA,"wielka plyta","224 000 zl","https://www.otodom.pl/pl/oferta/34mkw-do-remontu-balkon-gorna-kurak-chojny-ID4hfxK","lodz",NA,"1980"
"1:223","33,25 m²","zapytaj","1 ","zapytaj","5/7","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"316 075 zl","https://www.otodom.pl/pl/oferta/diasfera-lodzka-nowe-mieszkanie-b60-ID4fTR7","lodz",NA,"2021"
"1:224","28,32 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","3/6","balkon","340 zl","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble","piwnica, oddzielna kuchnia","wielka plyta","245 000 zl","https://www.otodom.pl/pl/oferta/bardzo-ladna-kawalerka-rojna-winda-balkon-ID4hfjL","lodz","2022-08-01","1975"
"1:225","29 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","taras","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak",NA,NA,NA,"pom. uzytkowe","cegla","259 000 zl","https://www.otodom.pl/pl/oferta/super-lokalizacja-ID4gNdL","lodz",NA,"2021"
"1:226","34 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet","monitoring / ochrona",NA,NA,"cegla","245 000 zl","https://www.otodom.pl/pl/oferta/okazja-cenowa-nieruchomosc-z-ogrodkiem-ID4h3Dt","lodz",NA,"2010"
"1:227","24 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","zapytaj","240 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","meble, pralka",NA,"cegla","220 000 zl","https://www.otodom.pl/pl/oferta/przy-politechnice-24m2-ul-felsztynskiego-ID4hfhJ","lodz",NA,NA
"1:228","26 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","400 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,NA,NA,"cegla","223 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-26-m-lodz-ID4hfef","lodz",NA,NA
"1:229","38 m²","zapytaj","2 ","zapytaj","3/11","balkon","353 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","tak",NA,NA,NA,NA,NA,"308 000 zl","https://www.otodom.pl/pl/oferta/po-remoncie-38m2-z-balkonem-chojny-lodz-ID4hfcK","lodz",NA,NA
"1:230","35 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","307 600 zl","https://www.otodom.pl/pl/oferta/rabat-42tys-gotowa-inwestycja-2pok-balkon-m-naz12k-ID4hf8n","lodz",NA,"2022"
"1:231","36,5 m²","pelna wlasnosc","2 ","do zamieszkania","1/3","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","drewniane","nie","telewizja kablowa, internet",NA,NA,"pom. uzytkowe","cegla","239 000 zl","https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-z-przestronym-balkonem-ID4h4qW","lodz",NA,"1968"
"1:232","36,62 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","360 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"265 000 zl","https://www.otodom.pl/pl/oferta/wolne-od-reki-mieszkanie-m3-2-pokoje-lodz-dabrowa-ID4gzmZ","lodz",NA,NA
"1:233","36,24 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,NA,"wielka plyta","277 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-zarzew-2pok-loggia-ID4heUr","lodz","2022-06-20",NA
"1:234","37,5 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","2/4","balkon","370 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","drewniane","nie","telewizja kablowa, internet","domofon / wideofon","meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","275 000 zl","https://www.otodom.pl/pl/oferta/rozkladowe-m3-z-balkonem-na-2p-miedziana-elektryka-ID4heTW","lodz","2022-06-20","1968"
"1:235","30 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"silikat","284 404 zl","https://www.otodom.pl/pl/oferta/5min-od-rondo-solidarnosci-2pok-balkon-m-w-garazu-ID4heO6","lodz",NA,NA
"1:236","36 m²","pelna wlasnosc","2 ","do wykonczenia","zapytaj","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"silikat","314 170 zl","https://www.otodom.pl/pl/oferta/5min-od-rondo-solidarnosci-2pok-balkon-m-w-garazu-ID4heNH","lodz",NA,NA
"1:237","32 m²","spóldzielcze wl. z KW","1 ","zapytaj","> 10/11","zapytaj","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka plyta","210 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-32m2-retkinia-botanik-ID4heLC","lodz",NA,NA
"1:238","37 m²","spóldzielcze wlasnosciowe","2 ","do remontu","2/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,NA,"225 000 zl","https://www.otodom.pl/pl/oferta/m337-dabrowa-rozkladowe-pokoje-2-pietro-w-bloku-ID4heKW","lodz",NA,NA
"1:239","34 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","240 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,"meble",NA,"wielka plyta","240 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-blisko-politechniki-ID4heIW","lodz","2022-06-16","1962"
"1:240","27,67 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica","drewniane","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","244 990 zl","https://www.otodom.pl/pl/oferta/dla-zwolennikow-piekna-klimatu-lodzkiej-secesji-ID4gTAn","lodz",NA,"2022"
"1:241","29,64 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","2/11","zapytaj","375 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,"lodówka, meble, kuchenka","piwnica","wielka plyta","230 000 zl","https://www.otodom.pl/pl/oferta/m2-drugie-pietro-mozliwosc-uzyskania-m3-ID4heAO","lodz","2022-06-18","1970"
"1:242","36,55 m²","zapytaj","1 ","zapytaj","3","balkon","420 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia",NA,"239 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-bloku-niedaleko-manufaktury-koziny-ID4hesI","lodz",NA,"1968"
"1:243","30,19 m²","zapytaj","1 ","do zamieszkania","4/4","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"monitoring / ochrona","meble",NA,NA,"360 000 zl","https://www.otodom.pl/pl/oferta/fuzja-b1-nowe-wyposazone-studio-z-balkonem-4-p-ID4hesy","lodz",NA,"2020"
"1:244","29,59 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","monitoring / ochrona",NA,NA,NA,"244 117 zl","https://www.otodom.pl/pl/oferta/osiedle-preciosa-m3-lodz-blisko-centrum-ID4heoM","lodz",NA,"2023"
"1:245","16,24 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","pierwotny","deweloper","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"cegla","107 184 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-przy-zgierskiej-208-ID4fTAi","lodz",NA,"1938"
"1:246","21,53 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","zapytaj","64 zl","zapytaj","zapytaj","elektryczne","pierwotny","deweloper","kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","142 098 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-przy-zgierskiej-208-ID4dSVA","lodz","2021-12-06","2021"
"1:247","20,94 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","zapytaj","63 zl","zapytaj","zapytaj","elektryczne","pierwotny","deweloper","kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","138 204 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-przy-zgierskiej-208-ID4dTda","lodz","2021-11-07","2021"
"1:248","31 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/10","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"plastikowe","tak","telewizja kablowa","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","wielka plyta","246 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-lodz-retkinia-ID4fS1W","lodz",NA,"1970"
"1:249","37 m²","zapytaj","2 ","zapytaj","1/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"monitoring / ochrona",NA,"piwnica",NA,"308 000 zl","https://www.otodom.pl/pl/oferta/m-3-na-dabrowie-z-bezplatnym-miejscem-postojowym-ID4he36","lodz",NA,NA
"1:250","38 m²","zapytaj","2 ","do remontu","2/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","237 000 zl","https://www.otodom.pl/pl/oferta/m3zarzew-balkon-2-pietro-dobra-cena-ID4he2f","lodz",NA,NA
"1:251","33 m²","zapytaj","2 ","do zamieszkania","8/11","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","215 000 zl","https://www.otodom.pl/pl/oferta/m3gorna-balkon-rozkladowe-bardzo-dobra-cena-ID4he23","lodz",NA,NA
"1:252","29,1 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,"oddzielna kuchnia","wielka plyta","290 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-10-minut-od-centrum-lodzi-ID4he0I","lodz",NA,"1984"
"1:253","35 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"pustak","306 050 zl","https://www.otodom.pl/pl/oferta/zobacz-w-sobote-dodatkowy-rabat-39tys-m-naz-12k-ID4h8Gk","lodz",NA,"2022"
"1:254","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","1/4","zapytaj","411 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,NA,"kuchenka",NA,NA,"268 000 zl","https://www.otodom.pl/pl/oferta/male-lokum-niedaleko-manufaktury-ID4h1xU","lodz",NA,"1972"
"1:255","32,61 m²","pelna wlasnosc","2 ","do wykonczenia","3/12","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","beton","Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartament-tuwima-sky-blisko-gwiazd-2-pokoje-ID4cQwe","lodz","2024-09-01","2021"
"1:256","28,04 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","7/10","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, pralka","oddzielna kuchnia","wielka plyta","225 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-zamieszkania-ul-rojna-rydzowa-ID4hdJ4","lodz",NA,"1972"
"1:257","29 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, meble, kuchenka, pralka","piwnica","cegla","250 000 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-centrum-miasta-ID4haIi","lodz",NA,"1980"
"1:258","38 m²","spóldzielcze wlasnosciowe","2 ","do wykonczenia","2/10","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","piekarnik, kuchenka","piwnica, oddzielna kuchnia","wielka plyta","280 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-teofilow-ID4haAr","lodz",NA,"1973"
"1:259","37 m²","pelna wlasnosc","2 ","zapytaj","1/4","zapytaj","280 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","piekarnik, kuchenka, pralka","piwnica","wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/rezerwacja-mieszkanie-dwa-pokoje-1-pietro-ID4hdEJ","lodz",NA,NA
"1:260","35,68 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","299 712 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dla-inwestora-super-lokalizacja-ID4h7XM","lodz",NA,"2022"
"1:261","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","3/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","drewniane","nie","telewizja kablowa","domofon / wideofon","lodówka, piekarnik, kuchenka","piwnica","wielka plyta","259 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-przy-parku-podolskim-ID4hdsD","lodz",NA,"1970"
"1:262","25,19 m²","pelna wlasnosc","1 ","do wykonczenia","8/12","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","beton","Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartament-tuwima-sky-blisko-gwiazd-8-pietro-ID4cQw7","lodz","2024-09-01","2021"
"1:263","37,88 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","parter/4","zapytaj","540 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","aluminiowe","nie","internet, telefon",NA,NA,NA,"wielka plyta","275 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-przy-manufakturze-ID4gU3r","lodz",NA,"1971"
"1:264","35,72 m²","pelna wlasnosc","2 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"338 485 zl","https://www.otodom.pl/pl/oferta/gotowe-sloneczne-2-pokoje-blisko-centrum-bez-pcc-ID4hdmi","lodz",NA,"2021"
"1:265","35 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","309 153 zl","https://www.otodom.pl/pl/oferta/5-min-do-centrum-2pok-oferta-ograniczona-czasowo-ID4hdlR","lodz",NA,"2022"
"1:266","28,01 m²","pelna wlasnosc","1 ","do zamieszkania","10/11","zapytaj","280 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"plastikowe","nie",NA,NA,"meble","pom. uzytkowe",NA,"210 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-wprowadzenia-gorna-ID4h9i4","lodz","2022-06-13","1973"
"1:267","36 m²","pelna wlasnosc","2 ","do wykonczenia","zapytaj","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","314 170 zl","https://www.otodom.pl/pl/oferta/5min-od-rondo-solidarnosci-2pok-balkon-m-w-garazu-ID4gIuV","lodz",NA,"2023"
"1:268","26 m²","pelna wlasnosc","1 ","do wykonczenia","zapytaj","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","silikat","263 160 zl","https://www.otodom.pl/pl/oferta/obok-ogrodow-geyera-kawalerka-z-balkonem-komorki-ID4gIwl","lodz",NA,NA
"1:269","29,33 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"beton","Zapytaj o cene","https://www.otodom.pl/pl/oferta/tuwima-gardens-1-pok-aneks-syp-ID4aXof","lodz",NA,"2021"
"1:270","32 m²","zapytaj","1 ","do zamieszkania","8/11","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,"domofon / wideofon","meble",NA,"wielka plyta","280 000 zl","https://www.otodom.pl/pl/oferta/po-remoncie-i-w-pelni-umeblowane-ID4hd4c","lodz","2022-09-15",NA
"1:271","36 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","6/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"pom. uzytkowe","wielka plyta","276 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-dabrowa-po-remoncieh-2pok-balkon-ID4hd1J","lodz",NA,NA
"1:272","29,04 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"261 360 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-apartamentowiec-w161-m1-5-ID4gQ7v","lodz",NA,"2023"
"1:273","26 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","6/10","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, pom. uzytkowe","wielka plyta","200 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-na-dolach-ID4hcSV","lodz","2022-06-17","1970"
"1:274","35,01 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,"oddzielna kuchnia","cegla","305 000 zl","https://www.otodom.pl/pl/oferta/przytulne-i-jasne-m-3-ID4hcQb","lodz",NA,"1990"
"1:275","34,1 m²","spóldzielcze wlasnosciowe","2 ","do remontu","zapytaj","zapytaj","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,"oddzielna kuchnia",NA,"219 000 zl","https://www.otodom.pl/pl/oferta/m3-przy-lutomierskiej-ID4hcOW","lodz",NA,"1976"
"1:276","36,7 m²","zapytaj","2 ","zapytaj","4/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"nie",NA,NA,NA,"pom. uzytkowe",NA,"239 000 zl","https://www.otodom.pl/pl/oferta/przytulne-m3-z-ladnym-widokiem-ID4hcMw","lodz",NA,"1963"
"1:277","38 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","214 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","350 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-ulica-zgierska-ID4hcMf","lodz","2022-06-16","1980"
"1:278","34,5 m²","pelna wlasnosc","1 ","zapytaj","7/11","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,NA,"wielka plyta","224 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-34mkw-do-remontu-balkon-gorna-kurak-ID4hcLJ","lodz",NA,"1980"
"1:279","32 m²","spóldzielcze wl. z KW","2 ","zapytaj","parter/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,"domofon / wideofon",NA,"pom. uzytkowe","wielka plyta","265 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-32m2-wynajmowane-zielona-okolica-ID4hcBr","lodz",NA,NA
"1:280","38 m²","zapytaj","2 ","do zamieszkania","3/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"pom. uzytkowe","wielka plyta","300 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-teofilow-2pok-balkon-ID4hcqu","lodz",NA,NA
"1:281","26,64 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"pom. uzytkowe","wielka plyta","201 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizja-kurak-kawalerka-ID4hcqr","lodz",NA,"1970"
"1:282","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","2/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","288 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-teofilow-2pok-balkon-ID4hcqh","lodz",NA,"1970"
"1:283","38 m²","zapytaj","1 ","zapytaj","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"nie","telefon","domofon / wideofon","meble","piwnica","cegla","295 000 zl","https://www.otodom.pl/pl/oferta/finezja-i-styl-nowoczesna-duza-kawalerka-w-skandyn-ID4hcnN","lodz","2022-02-20","1962"
"1:284","35,5 m²","zapytaj","1 ","zapytaj","1/10","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"tak","telefon","domofon / wideofon","meble","piwnica","cegla","239 000 zl","https://www.otodom.pl/pl/oferta/funkcjonalna-komfortowa-kawalerka-w-mega-lokalizac-ID4hcnp","lodz","2022-05-01","1975"
"1:285","36 m²","pelna wlasnosc","2 ","do zamieszkania","6/11","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","meble","pom. uzytkowe","wielka plyta","250 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-pieknym-widokiem-dabrowa-ID4hcen","lodz","2022-06-14","1985"
"1:286","36 m²","pelna wlasnosc","2 ","do remontu","1/4","balkon","270 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet",NA,NA,"piwnica","cegla","255 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-ciekawej-lokalizacji-ID4hbSj","lodz",NA,"1962"
"1:287","38 m²","pelna wlasnosc","1 ","do remontu","1/3","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok",NA,"nie",NA,NA,"lodówka, pralka","piwnica, oddzielna kuchnia","cegla","310 000 zl","https://www.otodom.pl/pl/oferta/osiedle-mireckiego-ID4gYXK","lodz",NA,NA
